iter	Passed	Remaining
0	7	7651
1	10	5391
2	13	4630
3	17	4418
4	22	4392
5	26	4397
6	29	4185
7	32	4026
8	42	4634
9	44	4445
10	52	4753
11	57	4699
12	67	5149
13	71	5002
14	75	4963
15	77	4775
16	93	5406
17	108	5923
18	127	6573
19	141	6913
20	153	7148
21	167	7442
22	170	7255
23	173	7070
24	177	6915
25	187	7006
26	195	7032
27	205	7128
28	208	6984
29	214	6920
30	222	6954
31	228	6918
32	233	6849
33	238	6764
34	243	6701
35	248	6659
36	251	6549
37	253	6416
38	255	6297
39	259	6227
40	264	6176
41	266	6082
42	271	6031
43	275	5978
44	280	5954
45	285	5918
46	288	5843
47	291	5771
48	295	5734
49	304	5794
50	425	7910
51	432	7879
52	439	7851
53	446	7824
54	453	7799
55	461	7773
56	470	7783
57	473	7686
58	478	7636
59	482	7565
60	484	7459
61	488	7393
62	494	7359
63	498	7294
64	502	7228
65	505	7151
66	506	7058
67	510	6996
68	513	6922
69	515	6846
70	519	6791
71	522	6729
72	526	6685
73	529	6627
74	533	6576
75	537	6540
76	541	6496
77	547	6471
78	550	6421
79	554	6371
80	557	6321
81	561	6287
82	565	6249
83	569	6207
84	571	6153
85	575	6115
86	578	6074
87	581	6025
88	591	6053
89	594	6009
90	598	5978
91	602	5943
92	607	5924
93	611	5889
94	614	5856
95	617	5815
96	621	5781
97	624	5747
98	626	5702
99	628	5657
100	633	5634
101	635	5595
102	641	5586
103	644	5552
104	648	5527
105	651	5498
106	655	5469
107	658	5438
108	661	5408
109	664	5375
110	669	5359
111	674	5349
112	677	5320
113	682	5300
114	685	5274
115	689	5256
116	693	5231
117	695	5200
118	698	5168
119	700	5137
120	702	5105
121	706	5084
122	709	5055
123	711	5028
124	715	5007
125	717	4977
126	719	4947
127	724	4938
128	727	4914
129	732	4901
130	737	4894
131	740	4870
132	742	4841
133	746	4821
134	748	4796
135	753	4786
136	757	4774
137	763	4768
138	769	4767
139	774	4755
140	779	4746
141	782	4727
142	787	4718
143	791	4705
144	796	4694
145	800	4679
146	803	4664
147	808	4651
148	814	4651
149	820	4650
150	823	4632
151	826	4611
152	830	4597
153	833	4577
154	838	4572
155	843	4563
156	848	4557
157	852	4544
158	856	4528
159	859	4513
160	863	4498
161	865	4477
162	869	4465
163	873	4453
164	877	4442
165	881	4427
166	884	4413
167	888	4400
168	892	4388
169	896	4376
170	899	4358
171	904	4353
172	911	4356
173	915	4345
174	919	4332
175	921	4315
176	924	4298
177	929	4291
178	931	4272
179	935	4262
180	938	4245
181	942	4236
182	946	4225
183	950	4216
184	952	4197
185	956	4184
186	959	4170
187	961	4153
188	964	4136
189	967	4126
190	970	4111
191	973	4095
192	975	4078
193	981	4076
194	986	4072
195	989	4060
196	994	4052
197	998	4043
198	1001	4032
199	1006	4024
200	1009	4011
201	1013	4001
202	1017	3993
203	1020	3981
204	1026	3980
205	1029	3969
206	1032	3954
207	1034	3940
208	1037	3927
209	1040	3912
210	1042	3898
211	1047	3892
212	1050	3882
213	1054	3872
214	1058	3865
215	1063	3858
216	1067	3850
217	1069	3835
218	1072	3823
219	1075	3811
220	1077	3797
221	1080	3785
222	1084	3778
223	1087	3767
224	1090	3756
225	1093	3744
226	1097	3736
227	1101	3730
228	1103	3715
229	1107	3708
230	1110	3697
231	1114	3690
232	1117	3678
233	1121	3672
234	1126	3665
235	1128	3654
236	1132	3645
237	1136	3638
238	1140	3631
239	1144	3625
240	1146	3612
241	1150	3603
242	1152	3591
243	1157	3585
244	1162	3582
245	1165	3572
246	1167	3560
247	1172	3554
248	1175	3544
249	1178	3534
250	1263	3771
251	1272	3776
252	1294	3823
253	1299	3815
254	1302	3804
255	1313	3817
256	1316	3806
257	1319	3796
258	1323	3787
259	1327	3778
260	1332	3772
261	1337	3766
262	1341	3759
263	1344	3748
264	1347	3736
265	1351	3729
266	1354	3719
267	1358	3709
268	1363	3705
269	1367	3697
270	1371	3689
271	1375	3681
272	1378	3670
273	1382	3663
274	1387	3657
275	1392	3652
276	1396	3644
277	1401	3639
278	1406	3633
279	1474	3791
280	1483	3794
281	1489	3792
282	1498	3796
283	1506	3797
284	1513	3798
285	1521	3799
286	1529	3799
287	1535	3795
288	1544	3801
289	1547	3789
290	1551	3779
291	1555	3770
292	1558	3759
293	1560	3748
294	1564	3739
295	1576	3748
296	1581	3742
297	1583	3730
298	1586	3718
299	1590	3710
300	1593	3700
301	1595	3688
302	1599	3680
303	1603	3671
304	1607	3662
305	1611	3655
306	1614	3644
307	1617	3633
308	1620	3624
309	1624	3614
310	1627	3605
311	1630	3595
312	1632	3583
313	1635	3572
314	1638	3563
315	1643	3558
316	1646	3546
317	1650	3538
318	1652	3528
319	1657	3521
320	1660	3513
321	1663	3502
322	1670	3500
323	1675	3494
324	1678	3485
325	1681	3476
326	1683	3465
327	1686	3454
328	1690	3447
329	1693	3439
330	1697	3430
331	1700	3421
332	1707	3420
333	1711	3413
334	1714	3404
335	1721	3402
336	1724	3393
337	1729	3387
338	1732	3378
339	1737	3371
340	1740	3364
341	1744	3357
342	1748	3349
343	1752	3342
344	1755	3333
345	1759	3326
346	1761	3315
347	1764	3305
348	1769	3300
