iter	Passed	Remaining
0	9	9060
1	12	5989
2	15	5147
3	19	4820
4	22	4568
5	26	4390
6	30	4316
7	36	4529
8	41	4587
9	45	4478
10	49	4423
11	52	4318
12	54	4170
13	56	4010
14	60	3957
15	62	3872
16	67	3888
17	73	3990
18	79	4081
19	88	4315
20	90	4235
21	95	4233
22	96	4079
23	113	4620
24	120	4715
25	134	5022
26	137	4951
27	145	5035
28	152	5112
29	163	5289
30	178	5579
31	181	5481
32	184	5403
33	196	5573
34	199	5498
35	212	5691
36	214	5593
37	225	5696
38	228	5640
39	231	5555
40	244	5719
41	246	5625
42	255	5684
43	256	5577
44	260	5528
45	265	5496
46	287	5837
47	293	5814
48	299	5816
49	306	5816
50	310	5785
51	316	5763
52	326	5830
53	328	5757
54	332	5711
55	343	5789
56	347	5742
57	355	5772
58	361	5759
59	364	5712
60	376	5788
61	379	5741
62	385	5731
63	388	5686
64	392	5642
65	394	5585
66	400	5576
67	403	5535
68	406	5485
69	410	5451
70	416	5444
71	419	5410
72	422	5370
73	425	5325
74	429	5292
75	434	5285
76	437	5248
77	442	5235
78	447	5217
79	458	5270
80	461	5239
81	475	5326
82	485	5360
83	492	5365
84	502	5411
85	509	5416
86	514	5404
87	519	5379
88	522	5348
89	524	5307
90	527	5265
91	533	5269
92	538	5250
93	540	5209
94	543	5173
95	547	5153
96	548	5101
97	551	5073
98	554	5048
99	557	5018
100	560	4991
101	564	4965
102	567	4941
103	571	4925
104	574	4899
105	576	4861
106	583	4867
107	591	4884
108	598	4891
109	602	4874
110	606	4857
111	609	4832
112	619	4862
113	624	4850
114	627	4827
115	634	4832
116	638	4820
117	643	4811
118	654	4843
119	657	4819
120	660	4797
121	667	4803
122	672	4794
123	673	4759
124	682	4778
125	687	4772
126	692	4760
127	701	4777
128	705	4763
129	709	4747
130	716	4753
131	720	4740
132	723	4718
133	732	4733
134	736	4719
135	740	4703
136	747	4710
137	749	4679
138	754	4671
139	756	4647
140	762	4648
141	768	4642
142	771	4624
143	778	4627
144	783	4619
145	786	4601
146	791	4594
147	796	4586
148	800	4574
149	802	4549
150	807	4541
151	813	4537
152	815	4516
153	819	4503
154	821	4481
155	825	4464
156	829	4454
157	833	4444
158	878	4645
159	915	4806
160	921	4800
161	927	4795
162	933	4794
163	940	4795
164	946	4791
165	952	4786
166	960	4790
167	967	4792
168	977	4807
169	983	4801
170	986	4781
171	990	4769
172	994	4753
173	997	4736
174	1002	4725
175	1007	4716
176	1010	4697
177	1012	4676
178	1015	4658
179	1021	4652
180	1026	4645
181	1030	4630
182	1032	4611
183	1036	4597
184	1041	4586
185	1044	4569
186	1047	4554
187	1050	4537
188	1053	4522
189	1056	4504
190	1062	4500
191	1067	4494
192	1073	4488
193	1077	4474
194	1081	4464
195	1084	4450
196	1087	4433
197	1090	4416
198	1093	4402
199	1096	4386
200	1100	4374
201	1104	4361
202	1108	4352
203	1112	4339
204	1115	4327
205	1118	4311
206	1121	4295
207	1123	4279
208	1126	4262
209	1128	4247
210	1133	4239
211	1136	4225
212	1140	4214
213	1144	4203
214	1147	4189
215	1150	4175
216	1154	4165
217	1157	4150
218	1160	4138
219	1163	4125
220	1166	4110
221	1220	4278
222	1243	4331
223	1246	4319
224	1250	4307
225	1253	4292
226	1256	4278
227	1261	4271
228	1264	4256
229	1268	4246
230	1274	4241
231	1278	4233
232	1283	4223
233	1286	4210
234	1289	4196
235	1293	4186
236	1296	4173
237	1299	4161
238	1304	4152
239	1307	4141
240	1310	4126
241	1313	4113
242	1318	4107
243	1320	4092
244	1326	4086
245	1329	4074
246	1333	4065
247	1336	4052
248	1339	4040
249	1342	4028
250	1346	4017
251	1350	4009
252	1353	3996
253	1358	3989
254	1366	3991
255	1369	3978
256	1370	3962
257	1374	3953
258	1377	3940
259	1381	3930
260	1384	3919
261	1386	3906
262	1391	3898
263	1394	3886
264	1398	3878
265	1403	3871
266	1406	3862
267	1411	3854
268	1414	3843
269	1417	3832
270	1420	3820
271	1425	3815
272	1429	3807
273	1433	3797
274	1436	3786
275	1439	3777
276	1442	3764
277	1447	3760
278	1450	3747
279	1452	3735
280	1458	3731
281	1460	3719
282	1467	3718
283	1471	3708
284	1475	3701
285	1478	3690
286	1483	3684
287	1486	3675
288	1488	3663
289	1493	3655
290	1499	3652
291	1501	3640
292	1504	3629
293	1515	3638
294	1531	3658
295	1538	3658
296	1543	3653
297	1551	3654
298	1556	3649
299	1562	3644
300	1566	3637
301	1570	3630
302	1582	3640
303	1586	3631
304	1591	3626
305	1598	3624
306	1601	3615
307	1607	3610
308	1614	3609
309	1617	3600
310	1621	3592
311	1624	3582
312	1627	3572
313	1631	3563
314	1634	3555
315	1638	3546
316	1641	3536
317	1644	3526
318	1648	3518
319	1650	3508
320	1657	3506
321	1662	3499
322	1664	3489
323	1666	3477
324	1669	3467
325	1673	3459
326	1678	3454
327	1680	3443
328	1684	3435
329	1688	3427
330	1690	3416
331	1694	3409
332	1698	3401
333	1701	3392
334	1704	3383
335	1708	3376
336	1712	3368
337	1717	3364
338	1720	3355
339	1728	3354
340	1741	3366
341	1744	3356
342	1752	3356
343	1760	3356
344	1762	3345
345	1766	3339
346	1770	3331
347	1774	3324
348	1776	3314
349	1780	3305
350	1784	3300
351	1787	3290
352	1791	3284
353	1794	3274
354	1798	3266
355	1802	3260
356	1804	3249
357	1807	3241
358	1810	3232
359	1812	3222
360	1815	3214
361	1819	3205
362	1823	3200
363	1826	3191
364	1830	3185
365	1836	3180
366	1842	3177
367	1847	3172
368	1853	3169
369	1859	3166
370	1865	3163
371	1870	3156
372	1873	3150
373	1877	3142
374	1879	3131
375	1882	3123
376	1885	3115
377	1889	3108
378	1892	3101
379	1998	3260
380	2040	3315
381	2046	3311
382	2053	3308
383	2062	3307
384	2066	3300
385	2073	3297
386	2079	3294
387	2087	3293
388	2094	3290
389	2103	3289
390	2106	3281
391	2109	3271
392	2111	3261
393	2115	3253
394	2120	3247
395	2123	3238
396	2126	3230
397	2131	3224
398	2136	3218
399	2140	3210
400	2143	3201
401	2146	3193
402	2151	3187
403	2155	3179
404	2158	3170
405	2161	3163
406	2166	3156
407	2169	3147
408	2172	3138
409	2174	3128
410	2180	3124
411	2187	3121
412	2190	3113
413	2194	3106
414	2198	3098
415	2201	3090
416	2206	3085
417	2210	3077
418	2214	3071
419	2223	3070
420	2227	3063
421	2229	3053
422	2236	3051
423	2241	3044
424	2244	3036
425	2250	3031
426	2252	3023
427	2257	3017
428	2262	3011
429	2268	3007
430	2273	3001
431	2276	2992
432	2279	2984
433	2283	2978
434	2287	2971
435	2291	2964
436	2294	2956
437	2299	2950
438	2303	2943
439	2307	2936
440	2310	2929
441	2315	2923
442	2318	2915
443	2322	2908
444	2327	2902
445	2330	2894
446	2333	2887
447	2336	2878
448	2341	2873
449	2347	2868
450	2350	2861
451	2354	2854
452	2356	2845
453	2359	2837
454	2364	2831
455	2367	2824
456	2372	2818
457	2376	2812
458	2380	2806
459	2383	2798
460	2388	2792
461	2391	2784
462	2396	2779
463	2398	2770
464	2401	2762
465	2407	2758
466	2410	2750
467	2415	2746
468	2419	2739
469	2423	2733
470	2427	2726
471	2431	2720
472	2434	2712
473	2438	2705
474	2442	2699
475	2446	2693
476	2449	2685
477	2453	2679
478	2456	2671
479	2458	2663
480	2460	2654
481	2462	2646
482	2466	2639
483	2469	2632
484	2472	2625
485	2477	2619
486	2480	2612
487	2484	2606
488	2487	2598
489	2489	2590
490	2493	2584
491	2496	2577
492	2499	2570
493	2506	2566
494	2510	2561
495	2513	2554
496	2516	2547
497	2519	2539
498	2522	2532
499	2524	2524
500	2527	2517
501	2530	2510
502	2535	2504
503	2537	2497
504	2540	2490
505	2544	2483
506	2547	2476
507	2551	2470
508	2561	2471
509	2566	2465
510	2570	2459
511	2576	2455
512	2579	2448
513	2583	2442
514	2585	2434
515	2587	2427
516	2591	2420
517	2596	2415
518	2599	2409
519	2603	2403
520	2606	2396
521	2611	2391
522	2616	2386
523	2619	2379
524	2622	2372
525	2627	2367
526	2630	2360
527	2632	2353
528	2637	2348
529	2642	2343
530	2645	2336
531	2648	2329
532	2651	2323
533	2654	2316
534	2657	2310
535	2662	2305
536	2665	2298
537	2670	2293
538	2675	2288
539	2678	2282
540	2681	2275
541	2684	2268
542	2688	2262
543	2691	2256
544	2697	2252
545	2701	2246
546	2706	2241
547	2710	2235
548	2713	2228
549	2717	2223
550	2720	2217
551	2723	2210
552	2727	2204
553	2731	2199
554	2734	2192
555	2738	2187
556	2743	2182
557	2750	2178
558	2755	2173
559	2757	2166
560	2759	2159
561	2765	2154
562	2767	2148
563	2772	2142
564	2776	2137
565	2779	2130
566	2783	2125
567	2786	2119
568	2790	2113
569	2796	2109
570	2799	2103
571	2804	2098
572	2807	2091
573	2810	2085
574	2814	2080
575	2818	2074
576	2822	2069
577	2827	2064
578	2830	2057
579	2833	2051
580	2838	2047
581	2842	2041
582	2844	2034
583	2851	2031
584	2858	2027
585	2861	2021
586	2863	2014
587	2868	2010
588	2871	2003
589	2876	1998
590	2878	1992
591	2882	1986
592	2884	1979
593	2887	1973
594	2890	1967
595	2898	1964
596	2901	1958
597	2904	1952
598	2908	1947
599	2913	1942
600	2916	1936
601	2922	1931
602	2929	1928
603	2937	1926
604	2943	1921
605	2948	1916
606	2954	1912
607	2956	1906
608	2961	1901
609	2965	1895
610	2969	1890
611	2972	1884
612	2976	1879
613	2979	1873
614	2983	1867
615	2989	1863
616	2992	1857
617	2997	1852
618	3001	1847
619	3004	1841
620	3008	1836
621	3048	1852
622	3092	1871
623	3101	1868
624	3106	1863
625	3113	1860
626	3122	1857
627	3128	1853
628	3136	1850
629	3140	1844
630	3145	1839
631	3148	1833
632	3151	1827
633	3155	1821
634	3157	1814
635	3161	1809
636	3165	1803
637	3169	1798
638	3172	1792
639	3175	1786
640	3178	1780
641	3182	1774
642	3185	1768
643	3189	1763
644	3194	1758
645	3200	1753
646	3204	1748
647	3208	1742
648	3213	1738
649	3216	1731
650	3218	1725
651	3223	1720
652	3231	1717
653	3235	1711
654	3244	1708
655	3250	1704
656	3253	1698
657	3256	1692
658	3259	1686
659	3263	1681
660	3266	1675
661	3272	1670
662	3276	1665
663	3279	1659
664	3284	1654
665	3289	1649
666	3292	1643
667	3296	1638
668	3300	1632
669	3303	1627
670	3306	1621
671	3313	1617
672	3317	1612
673	3321	1606
674	3333	1605
675	3337	1599
676	3340	1593
677	3342	1587
678	3346	1582
679	3352	1577
680	3354	1571
681	3356	1565
682	3361	1559
683	3364	1554
684	3371	1550
685	3374	1544
686	3378	1539
687	3382	1533
688	3385	1528
689	3388	1522
690	3394	1517
691	3397	1512
692	3402	1507
693	3407	1502
694	3412	1497
695	3418	1493
696	3423	1488
697	3427	1483
698	3430	1477
699	3435	1472
700	3439	1467
701	3442	1461
702	3444	1455
703	3448	1449
704	3451	1444
705	3455	1438
706	3460	1434
707	3463	1428
708	3465	1422
709	3469	1417
710	3472	1411
