iter	R2	RMSE
0	-1.759353258	0.3274657212
1	-1.525189457	0.3132630538
2	-1.316459699	0.3000368298
3	-1.126739824	0.2874877708
4	-0.9499240971	0.2752777099
5	-0.7909534306	0.2638179493
6	-0.6516185088	0.2533477573
7	-0.5224772494	0.2432414588
8	-0.4028419888	0.2334890788
9	-0.2936349186	0.2242167527
10	-0.1975570571	0.2157298794
11	-0.1089860444	0.2075989889
12	-0.02835343419	0.1999094825
13	0.04009810697	0.1931415079
14	0.1034704826	0.1866570896
15	0.1647906574	0.180160619
16	0.2203631683	0.1740637628
17	0.268638209	0.1685886478
18	0.3158569839	0.1630555713
19	0.3562309088	0.1581711434
20	0.3945305131	0.1533939829
21	0.4299173377	0.1488439237
22	0.456488927	0.1453337206
23	0.486659778	0.1412423194
24	0.5134947559	0.1375010316
25	0.5362759685	0.1342431069
26	0.5544125749	0.1315917482
27	0.573390597	0.1287589437
28	0.5925360363	0.1258365481
29	0.6083975093	0.1233629983
30	0.6254088779	0.1206537803
31	0.641224161	0.1180793049
32	0.6548062783	0.1158226874
33	0.6673723407	0.1136950019
34	0.6778584527	0.1118885289
35	0.6875502957	0.1101925549
36	0.6975690774	0.1084114843
37	0.7066995767	0.1067624517
38	0.7131914082	0.105574315
39	0.7190947375	0.1044821573
40	0.7247351217	0.1034278733
41	0.7304982517	0.1023394284
42	0.737037286	0.1010902522
43	0.7404439185	0.1004333151
44	0.7460536037	0.09934207353
45	0.7508628662	0.09839690209
46	0.7557011761	0.09743677064
47	0.7601697656	0.09654152605
48	0.7636948374	0.0958294065
49	0.7668396513	0.09518960871
50	0.7708358636	0.09437034004
51	0.7740088033	0.09371475075
52	0.7766332032	0.09316901448
53	0.7796174669	0.09254453527
54	0.7824672965	0.09194422832
55	0.7853554645	0.09133181995
56	0.7872573754	0.09092628555
57	0.7890987541	0.09053192733
58	0.791216095	0.09007633381
59	0.793214058	0.08964430383
60	0.7951064594	0.08923317115
61	0.7965537728	0.08891745294
62	0.7982182552	0.08855296966
63	0.7992163714	0.08833368392
64	0.8011309122	0.08791152915
65	0.8031575141	0.08746244506
66	0.8045395059	0.08715487608
67	0.8060098882	0.0868264391
68	0.8065264481	0.08671076065
69	0.8084846911	0.08627082303
70	0.809618356	0.08601510621
71	0.8102133161	0.08588059849
72	0.8117002482	0.08554351023
73	0.8122602717	0.08541620777
74	0.8135563186	0.08512086501
75	0.8138738429	0.08504835126
76	0.8146244487	0.08487668738
77	0.8154020218	0.08469848918
78	0.8161212253	0.08453333327
79	0.8169233586	0.0843487521
80	0.8176597517	0.08417894228
81	0.818431497	0.08400061196
82	0.8192006083	0.08382251283
83	0.819958851	0.08364655931
84	0.820312089	0.08356446237
85	0.8213111702	0.08333182552
86	0.8222576888	0.08311082725
87	0.8229131592	0.08295743944
88	0.8239853824	0.08270591328
89	0.8246061601	0.08255993865
90	0.8257671559	0.08228623781
91	0.8269630959	0.0820033438
92	0.8273378652	0.08191449283
93	0.8276433621	0.08184199372
94	0.8280922408	0.08173535123
95	0.8284217411	0.08165698148
96	0.8284902062	0.08164068799
97	0.8287991114	0.08156713361
98	0.8296819261	0.08135655721
99	0.8299117576	0.08130164638
100	0.8303394367	0.08119936742
101	0.8305785926	0.08114211734
102	0.83112373	0.08101146903
103	0.8315739574	0.08090340788
104	0.8317946044	0.08085039664
105	0.8318934885	0.08082662812
106	0.8324119389	0.08070189483
107	0.8325572294	0.08066690499
108	0.8329770559	0.08056571411
109	0.8333462861	0.08047661332
110	0.8339148874	0.08033920802
111	0.8346776978	0.08015450117
112	0.8353142062	0.0800000507
113	0.8356456157	0.07991951514
114	0.8358201345	0.07987707282
115	0.836237457	0.07977549
116	0.8365875209	0.07969017909
117	0.8368892817	0.07961656634
118	0.837628947	0.07943584086
119	0.8377756412	0.07939994958
120	0.838156476	0.07930669591
121	0.8384085096	0.07924492101
122	0.8387507634	0.07916095542
123	0.8387883543	0.07915172775
124	0.8391022831	0.07907462379
125	0.8396126959	0.07894910068
126	0.8402308519	0.07879681314
127	0.8404467581	0.07874355358
128	0.8406444406	0.07869475781
129	0.8411112876	0.07857940145
130	0.8412937026	0.07853428126
131	0.8415421427	0.07847278807
132	0.841651408	0.07844572779
133	0.841729546	0.07842637065
134	0.842167122	0.07831788153
135	0.8425226717	0.07822961855
136	0.8426959758	0.07818656078
137	0.8427323395	0.07817752312
138	0.8429495052	0.07812352809
139	0.8430500229	0.07809852325
140	0.8436774477	0.0779422632
141	0.843866542	0.0778951078
142	0.8445460551	0.07772541818
143	0.8452028392	0.07756105163
144	0.8455894027	0.07746414737
145	0.8461966332	0.07731168073
146	0.8467082432	0.07718298922
147	0.8468576552	0.07714536529
148	0.8471446398	0.07707304721
149	0.8471503179	0.07707161569
150	0.8472666734	0.07704227506
151	0.8475624218	0.0769676477
152	0.8476664379	0.07694138371
153	0.8478632148	0.07689167312
154	0.8479791004	0.07686238258
155	0.8480120038	0.07685406409
156	0.8482237962	0.07680049809
157	0.848803094	0.07665379229
158	0.849171488	0.07656035118
