price,latitude,longitude,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,rooftop,elevator,pool,ac,heating,neighborhood,dist_city_center,garage,property_type,garden,dist_closest_station,property_age_cat,floor_cat,neighborhood_rent_index_cluster,rooms_per_100_sqm,bathrooms_per_100_sqm
800,41.3749069,2.18913,35,1,1,0,0,1, este,0,0,0,1,Unknown,Ciutat Vella,2.15848079,0,piso,0,0.849196078,71 - 111,0 - 5,+15,2.857142857142857,2.857142857142857
840,41.4081353,2.1610436,56,2,1,0,0,1,Unknown,0,1,0,0,Unknown,Vila de Gràcia,2.369490058,0,piso,0,0.263113452,Unknown,0 - 5,+15,3.5714285714285716,1.7857142857142858
2500,41.3999828,2.1586242,150,2,2,0,0,1, este,0,1,0,0,Unknown,Vila de Gràcia,1.641538842,0,piso,0,0.502462542,Unknown,0 - 5,+15,1.3333333333333333,1.3333333333333333
650,41.4462591,2.1922344,68,2,1,0,0,1,Unknown,0,0,0,0,gas,Sant Andreu,6.752857595,0,piso,0,0.328446836,Unknown,Unknown,11.5 - 15,2.9411764705882355,1.4705882352941178
795,41.4127335,2.1714053,48,0,1,0,1,1,Unknown,0,1,1,1,bomba,El Baix Guinardó,2.765004562,0,estudio,0,0.409723587,Unknown,Unknown,11.5 - 15,0.0,2.0833333333333335
700,41.3809936,2.1911649,45,1,1,1,0,1,Unknown,0,0,0,1,bomba,La Barceloneta,1.93225497,0,piso,0,0.540017006,+111,0 - 5,+15,2.2222222222222223,2.2222222222222223
1080,41.3927716,2.1522855,70,3,1,1,0,1,Unknown,0,1,0,1,gas,L'Antiga Esquerra de l'Eixample,1.568143842,0,piso,0,0.473922532,+111,0 - 5,+15,4.285714285714286,1.4285714285714286
850,41.3874001,2.1751747,37,1,1,0,0,1,Unknown,0,1,0,1,Unknown,Sant Pere - Santa Caterina i la Ribera,0.442019062,0,piso,0,0.204232929,Unknown,0 - 5,+15,2.7027027027027026,2.7027027027027026
1100,41.3878657,2.1577725,90,4,2,0,0,1,Unknown,0,1,0,0,Unknown,L'Antiga Esquerra de l'Eixample,1.013719498,0,piso,0,0.56446595,Unknown,0 - 5,+15,4.444444444444445,2.2222222222222223
825,41.3821187,2.1888325,33,1,1,0,0,1,Unknown,0,0,0,1,Unknown,Ciutat Vella,1.704294997,0,piso,0,0.339377352,Unknown,0 - 5,+15,3.0303030303030303,3.0303030303030303
600,41.4214129,2.1494852,47,1,1,0,0,1, este,0,1,0,0,Unknown,La Teixonera,4.098996217,0,piso,0,0.101532205,0 - 35,Unknown,11.5 - 15,2.127659574468085,2.127659574468085
690,41.3949878,2.1753303,50,1,1,0,0,1, norte,0,1,0,0,Unknown,El Fort Pienc,0.908491441,0,piso,0,0.022120742,35 - 71,0 - 5,11.5 - 15,2.0,2.0
700,41.3782478,2.1254377,62,0,1,0,0,1,Unknown,0,0,0,0,Unknown,Sants - Badal,3.864463154,0,estudio,0,0.338961224,Unknown,Unknown,11.5 - 15,0.0,1.6129032258064515
850,41.4045135,2.1452801,55,2,1,0,0,1,Unknown,0,1,0,0,Unknown,El Putxet i el Farró,2.764362431,0,piso,0,0.448900024,Unknown,0 - 5,11.5 - 15,3.6363636363636362,1.8181818181818181
480,41.4046397,2.1696055,30,0,1,0,0,0,Unknown,0,1,0,0,Unknown,El Camp d'En Grassot i Gràcia Nova,1.862138951,0,estudio,0,0.408280715,35 - 71,0 - 5,11.5 - 15,0.0,3.3333333333333335
675,41.4114137,2.1428383,30,1,1,0,0,0,Unknown,0,1,0,0,electric,El Putxet i el Farró,3.456311163,0,piso,0,0.139763994,Unknown,0 - 5,11.5 - 15,3.3333333333333335,3.3333333333333335
900,41.4061757,2.1351058,75,2,1,0,0,1, este,0,1,0,0,Unknown,Sant Gervasi - La Bonanova,3.545478347,0,piso,0,1.004577225,Unknown,0 - 5,+15,2.6666666666666665,1.3333333333333333
900,41.3780545,2.1564347,65,3,1,0,0,1,Unknown,0,1,0,1,Unknown,La Nova Esquerra de l'Eixample,1.570312596,0,piso,0,0.203900365,Unknown,0 - 5,11.5 - 15,4.615384615384615,1.5384615384615385
890,41.4021479,2.1737607,61,2,1,0,0,1, oeste,0,1,0,1,bomba,La Sagrada Família,1.61686942,0,piso,0,0.259856814,0 - 35,0 - 5,11.5 - 15,3.278688524590164,1.639344262295082
850,41.3814337,2.1724872,58,1,1,1,0,1, este,0,0,0,0,Unknown,El Raval,0.750476255,0,piso,0,0.04534321,+111,0 - 5,+15,1.7241379310344827,1.7241379310344827
795,41.3989935,2.1650337,60,1,1,0,0,0, sur,0,0,0,0,Unknown,La Dreta de l'Eixample,1.299546457,0,piso,0,0.294308572,+111,0 - 5,+15,1.6666666666666667,1.6666666666666667
750,41.4045434,2.1652195,60,2,1,0,0,1,Unknown,0,1,0,0,Unknown,El Camp d'En Grassot i Gràcia Nova,1.892333506,0,piso,0,0.267540153,Unknown,0 - 5,11.5 - 15,3.3333333333333335,1.6666666666666667
775,41.4113747,2.1455353,55,2,1,0,0,1,Unknown,0,1,0,0,Unknown,El Putxet i el Farró,3.310156622,0,piso,0,0.120186942,35 - 71,0 - 5,11.5 - 15,3.6363636363636362,1.8181818181818181
1350,41.3845687,2.1282497,104,3,2,1,1,1, sur,0,1,0,1,gas,La Maternitat i Sant Ramon,3.497172015,0,piso,0,0.224390121,35 - 71,0 - 5,11.5 - 15,2.8846153846153846,1.9230769230769231
