price,latitude,longitude,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,rooftop,elevator,pool,ac,heating,neighborhood,dist_city_center,garage,property_type,garden,dist_closest_station,property_age_cat,floor_cat,neighborhood_rent_index_cluster,rooms_per_100_sqm,bathrooms_per_100_sqm
174000,41.4234404,2.1561554,52,2,1,0,1,1,Unknown,1,1,0,1,Unknown,El Carmel,4.116565796,0,atico,0,0.153412378,40 - 70,0 - 4,0 - 2337,3.8461538461538463,1.9230769230769231
137000,41.4422405,2.1756934,65,3,1,0,0,1, este,0,1,0,0,Unknown,Nou Barris,6.063440226,0,piso,0,0.290149174,Unknown,0 - 4,0 - 2337,4.615384615384615,1.5384615384615385
1080000,41.4012314,2.160264,250,3,2,0,1,1, norte,0,1,0,1,individual,Vila de Gràcia,1.687606572,0,piso,0,0.61034014,0 - 40,Unknown,3371 - 5042,1.2,0.8
750000,41.404729,2.1663088,215,4,3,1,1,1,Unknown,0,1,0,1,individual,Gràcia,1.895983151,0,piso,0,0.319148289,0 - 40,0 - 4,3371 - 5042,1.8604651162790697,1.3953488372093024
79500,41.4482316,2.1766385,53,2,1,0,0,0,Unknown,0,0,0,0,Unknown,Les Roquetes,6.73403233,0,piso,0,0.077068691,0 - 40,Unknown,0 - 2337,3.7735849056603774,1.8867924528301887
125000,41.4525132,2.1910288,65,3,1,1,0,1, oeste,0,0,0,1,gas,La Trinitat Vella,7.399437405,0,piso,0,0.459707902,40 - 70,0 - 4,0 - 2337,4.615384615384615,1.5384615384615385
139000,41.4423381,2.1760122,64,2,1,0,0,1,Unknown,0,0,0,0,Unknown,Verdun,6.076428194,0,piso,0,0.26220394,Unknown,Unknown,0 - 2337,3.125,1.5625
175000,41.3614694,2.1434061,50,1,1,1,0,1, oeste,0,0,0,1,bomba,La Marina del Port,3.679727636,0,piso,0,0.43417141,70 - 120,0 - 4,0 - 2337,2.0,2.0
170000,41.3860589,2.1790083,35,2,1,1,0,1,Unknown,0,0,0,1,Unknown,Sant Pere - Santa Caterina i la Ribera,0.785592589,0,piso,0,0.21861783,Unknown,0 - 4,3371 - 5042,5.714285714285714,2.857142857142857
147000,41.3780247,2.18859,35,1,1,0,0,1,Unknown,0,0,0,1,Unknown,La Barceloneta,1.906391283,0,piso,0,0.527370062,Unknown,0 - 4,3371 - 5042,2.857142857142857,2.857142857142857
