iter	R2	RMSE
0	-1.779494277	0.3282896022
1	-1.544236556	0.3140891829
2	-1.334818266	0.3008851658
3	-1.136964257	0.287854395
4	-0.9592057673	0.2756222419
5	-0.8004317651	0.2642181023
6	-0.6602573024	0.2537242253
7	-0.531894462	0.243718591
8	-0.4139085287	0.2341450024
9	-0.3057902285	0.2250147268
10	-0.2089253689	0.2165080164
11	-0.1213004739	0.2085140091
12	-0.04006170044	0.2008185318
13	0.03184357267	0.1937523604
14	0.09645024166	0.1871760477
15	0.1571973891	0.1807745012
16	0.2136220901	0.1746183532
17	0.2633515923	0.1690068716
18	0.3121165306	0.1633171047
19	0.3553688887	0.1580992707
20	0.3935901233	0.1533406743
21	0.4292414184	0.1487648952
22	0.4612326764	0.1445356099
23	0.4903839489	0.1405710163
24	0.5155833454	0.1370514923
25	0.5403467422	0.1335025026
26	0.5619684943	0.1303247528
27	0.5822734825	0.1272683045
28	0.6014695927	0.1243096853
29	0.6192009121	0.1215128439
30	0.6343936811	0.1190641682
31	0.6468069237	0.1170254518
32	0.6600757209	0.1148061963
33	0.6690939715	0.113273045
34	0.6802033579	0.1113553751
35	0.6905802557	0.1095338233
36	0.7007977945	0.10771015
37	0.7086777284	0.1062823331
38	0.717881968	0.1045898785
39	0.7257036937	0.1031298095
40	0.7325079807	0.1018426404
41	0.739657622	0.1004723752
42	0.7445459999	0.09952463405
43	0.7494258778	0.09856945254
44	0.752620172	0.09793916053
45	0.7567414718	0.09711991039
46	0.7610880484	0.09624832353
47	0.764350152	0.09558897784
48	0.767068093	0.09503612645
49	0.7718081998	0.09406417544
50	0.7762584789	0.09314242242
51	0.7796572357	0.09243227288
52	0.7825913292	0.0918147944
53	0.784942628	0.0913169511
54	0.7869105798	0.09089817828
55	0.7897823334	0.09028359444
56	0.7927050668	0.08965377463
57	0.7943288534	0.08930194548
58	0.795935489	0.08895246286
59	0.7981615414	0.08846596028
60	0.8001962935	0.088018914
61	0.8021485687	0.08758784351
62	0.8038536729	0.08720960627
63	0.8043525105	0.08709864033
64	0.805800368	0.08677576219
65	0.8073437798	0.08643024684
66	0.8088589623	0.08608970216
67	0.8100133425	0.08582934271
68	0.8110832028	0.08558733875
69	0.8124851662	0.08526917288
70	0.8135483551	0.08502709574
71	0.8144103989	0.08483031014
72	0.8158683459	0.08449644998
73	0.8164970632	0.08435207011
74	0.8170338544	0.08422860449
75	0.8187598641	0.08383037815
76	0.8197095365	0.08361046008
77	0.8204698748	0.08343396876
78	0.8209357654	0.08332564056
79	0.8219486434	0.08308964033
80	0.8227040916	0.08291318383
81	0.8237048696	0.08267884363
82	0.8243043686	0.08253814748
83	0.8247351666	0.08243689541
84	0.8252792172	0.08230884719
85	0.8254159129	0.08227664304
86	0.8260921396	0.082117145
87	0.8266480928	0.08198578279
88	0.8276611752	0.08174586604
89	0.8286263967	0.08151662674
90	0.8294264338	0.08132612887
91	0.8297453652	0.08125006318
92	0.8307005113	0.08102183199
