iter	Passed	Remaining
0	7	7230
1	10	5132
2	14	4678
3	17	4421
4	21	4373
5	25	4230
6	31	4453
7	34	4289
8	39	4316
9	44	4423
10	47	4250
11	52	4338
12	55	4248
13	61	4306
14	64	4266
15	68	4224
16	72	4202
17	82	4483
18	90	4657
19	100	4917
20	105	4906
21	112	4987
22	116	4958
23	122	4981
24	127	4966
25	131	4942
26	134	4855
27	139	4843
28	145	4857
29	151	4891
30	154	4818
31	158	4793
32	163	4792
33	168	4800
34	173	4788
35	179	4801
36	182	4748
37	187	4738
38	196	4831
39	206	4952
40	211	4937
41	213	4873
42	218	4859
43	222	4844
44	232	4926
45	237	4926
46	244	4961
47	247	4904
48	252	4892
49	257	4899
50	260	4853
51	264	4814
52	266	4758
53	271	4749
54	274	4723
55	278	4698
56	280	4647
57	284	4619
58	288	4602
59	293	4599
60	297	4573
61	299	4527
62	303	4514
63	305	4462
64	305	4400
65	306	4338
66	310	4319
67	312	4277
68	315	4261
69	317	4219
70	318	4169
71	324	4184
72	331	4204
73	336	4207
74	339	4192
75	345	4204
76	348	4179
77	353	4172
78	356	4158
79	359	4134
80	363	4124
81	368	4128
82	370	4098
83	374	4083
84	377	4063
85	380	4039
86	381	4007
87	385	3996
88	389	3982
89	392	3967
90	395	3952
91	400	3955
92	407	3978
93	411	3963
94	414	3950
95	418	3940
96	421	3926
97	423	3901
98	427	3886
99	430	3870
100	434	3869
101	436	3846
102	440	3832
103	442	3810
104	446	3805
105	450	3799
106	453	3788
107	456	3767
108	458	3751
109	460	3729
110	462	3704
111	463	3676
112	469	3681
113	471	3667
114	474	3652
115	482	3675
116	486	3668
117	491	3673
118	493	3650
119	497	3650
120	500	3637
121	504	3629
122	508	3626
123	511	3614
124	514	3599
125	515	3578
126	518	3565
127	521	3550
128	523	3534
129	525	3519
130	528	3508
131	533	3505
132	536	3500
133	539	3487
134	542	3478
135	546	3471
136	550	3467
137	556	3478
138	564	3498
139	567	3486
140	573	3493
141	579	3503
142	583	3498
143	589	3504
144	592	3496
145	623	3644
146	625	3630
147	633	3647
148	642	3670
149	646	3662
150	650	3658
151	654	3649
152	657	3642
153	662	3639
154	668	3643
155	670	3629
156	674	3619
157	678	3617
158	684	3618
159	688	3612
160	691	3601
161	695	3598
162	702	3608
163	708	3609
164	712	3605
165	715	3593
166	717	3579
167	719	3564
168	723	3555
169	728	3555
170	732	3551
171	735	3541
172	737	3526
173	741	3518
174	744	3510
175	747	3501
176	750	3491
177	754	3484
178	758	3478
179	763	3476
180	904	4090
181	909	4089
182	913	4078
183	917	4069
184	921	4059
185	924	4046
186	928	4035
187	930	4019
188	934	4009
189	937	3997
190	940	3984
191	944	3974
192	947	3962
193	952	3956
194	955	3944
195	958	3932
196	961	3918
197	965	3909
198	970	3904
199	972	3890
200	975	3876
201	980	3873
202	983	3860
203	986	3849
204	992	3849
205	995	3836
206	1001	3835
207	1006	3833
208	1009	3820
209	1011	3806
210	1015	3798
211	1020	3792
212	1023	3781
213	1025	3767
214	1029	3759
215	1032	3748
216	1038	3745
217	1040	3734
218	1043	3722
219	1047	3712
220	1049	3700
221	1051	3686
222	1054	3674
223	1060	3674
224	1066	3674
225	1069	3662
226	1075	3661
227	1079	3653
228	1082	3644
229	1085	3635
230	1091	3633
231	1093	3621
232	1098	3614
233	1103	3611
234	1105	3600
235	1109	3592
236	1114	3588
237	1117	3578
238	1122	3573
239	1125	3564
240	1129	3557
241	1131	3544
242	1137	3542
243	1140	3533
244	1143	3522
245	1146	3514
246	1150	3507
247	1157	3508
248	1162	3504
249	1164	3492
250	1169	3489
251	1172	3480
252	1177	3476
253	1181	3468
254	1186	3466
255	1189	3455
256	1194	3452
257	1199	3448
258	1201	3438
259	1204	3427
260	1211	3430
261	1217	3430
262	1221	3423
263	1223	3412
264	1228	3407
265	1230	3395
266	1234	3389
267	1238	3382
268	1240	3371
