iter	R2	RMSE
0	-1.792954341	0.3246789869
1	-1.556721453	0.3106447169
2	-1.34630848	0.2975875921
3	-1.149947982	0.2848631289
4	-0.9710818405	0.2727561757
5	-0.810913729	0.2614394642
6	-0.6660877367	0.2507674698
7	-0.5337903967	0.2406053452
8	-0.4132264449	0.2309554111
9	-0.3041167906	0.2218607657
10	-0.2079153655	0.2135209618
11	-0.1169546367	0.2053241492
12	-0.0355128757	0.1976969712
13	0.03743248727	0.1906065691
14	0.1065878462	0.1836319273
15	0.1669412053	0.177320967
16	0.2221798624	0.1713412203
17	0.2738841123	0.1655484938
18	0.3209312745	0.1600955015
19	0.3614938166	0.1552404232
20	0.400342471	0.1504436666
21	0.4346940413	0.1460710146
22	0.4665953943	0.1418896263
23	0.4942565098	0.1381616194
24	0.5200671791	0.1345899059
25	0.5450778457	0.1310360544
26	0.5675854726	0.1277533809
27	0.5883307321	0.1246512069
28	0.6080630696	0.1216271016
29	0.6252061527	0.1189374137
30	0.6397277689	0.1166105003
31	0.6533279702	0.1143883158
32	0.6665089308	0.1121926402
33	0.6787432843	0.1101154789
34	0.6895269567	0.1082515724
35	0.6994897188	0.1065005699
36	0.7096506221	0.1046845798
37	0.7184758383	0.1030813508
38	0.7264891134	0.1016037115
39	0.7335589793	0.1002819588
40	0.7400467519	0.09905351428
41	0.7469066498	0.09773781627
42	0.7525373707	0.0966444849
43	0.7575421005	0.0956622152
44	0.7631293051	0.09455357008
45	0.7676969841	0.09363747373
46	0.7721481651	0.09273603628
47	0.7750874234	0.0921359535
48	0.7787875499	0.09137492787
49	0.7814688848	0.09081945788
50	0.7834646702	0.09040379192
51	0.7860918747	0.08985368753
52	0.7882696232	0.08939512775
53	0.7906028222	0.08890121085
54	0.7931621605	0.088356247
55	0.7956251973	0.08782859584
56	0.7972995379	0.08746808808
57	0.7998045048	0.08692594376
58	0.8015348024	0.08654947635
59	0.8031344952	0.08619996245
60	0.8051975839	0.08574709856
61	0.8066810427	0.08541998408
62	0.8077117967	0.08519195505
63	0.8080423036	0.08511870918
64	0.8083405949	0.08505254865
65	0.8086098109	0.08499279277
66	0.8097861717	0.0847311903
67	0.8104158965	0.08459081784
68	0.8113658108	0.08437862987
69	0.8117662559	0.08428902002
70	0.811927798	0.08425284385
71	0.813012447	0.08400954128
72	0.8139466654	0.08379941624
73	0.8146944756	0.08363083781
74	0.8157883279	0.08338363747
75	0.8166951587	0.08317814522
76	0.8180271953	0.08287537539
77	0.8188162419	0.08269550353
78	0.8203815643	0.08233750807
79	0.8211763676	0.08215513627
80	0.8217546024	0.08202220243
81	0.8227552534	0.08179164637
82	0.8237516548	0.08156142185
83	0.8245764252	0.08137036098
84	0.825150317	0.08123715186
85	0.8258771216	0.08106813519
86	0.8262942768	0.08097096739
87	0.8270938076	0.08078440633
88	0.8274921429	0.08069129852
89	0.8284167142	0.0804747719
90	0.8296291063	0.0801899541
91	0.8304727774	0.07999115868
92	0.830819263	0.07990937251
93	0.8312758059	0.07980147991
94	0.8316566645	0.07971136168
95	0.8324939097	0.07951289484
96	0.8335138413	0.0792704513
97	0.8342167879	0.07910292434
98	0.8343427344	0.07907287116
99	0.8349651827	0.07892417531
100	0.835638556	0.07876299794
101	0.8361480297	0.07864083175
102	0.8365017879	0.07855589267
103	0.8367853509	0.07848774144
104	0.8372652979	0.07837225643
105	0.8379840274	0.07819899657
106	0.838313424	0.07811946247
107	0.8388012438	0.07800152748
108	0.8390648553	0.07793772266
109	0.8391113106	0.07792647316
110	0.8391900207	0.0779074092
111	0.8392234722	0.07789930568
