iter	Passed	Remaining
0	8	8980
1	11	5747
2	14	4778
3	16	4158
4	20	4015
5	40	6694
6	52	7444
7	61	7627
8	69	7607
9	76	7539
10	84	7641
11	94	7786
12	101	7680
13	104	7393
14	109	7184
15	112	6941
16	116	6742
17	120	6578
18	124	6426
19	126	6221
20	132	6169
21	135	6024
22	137	5844
23	146	5955
24	152	5945
25	158	5954
26	160	5776
27	162	5645
28	165	5547
29	169	5475
30	179	5618
31	182	5524
32	186	5458
33	189	5372
34	199	5495
35	205	5506
36	213	5552
37	222	5622
38	224	5532
39	231	5555
40	236	5534
41	240	5489
42	244	5445
43	248	5394
44	252	5353
45	255	5299
46	260	5272
47	263	5216
48	265	5147
49	267	5083
50	270	5033
51	276	5034
52	279	4996
53	282	4954
54	285	4899
55	288	4870
56	294	4870
57	298	4846
58	302	4827
59	307	4813
60	310	4780
61	315	4775
62	318	4741
63	322	4709
64	323	4655
65	326	4625
66	330	4607
67	331	4540
68	336	4537
69	341	4543
70	345	4524
71	347	4478
72	351	4461
73	356	4458
74	358	4417
75	361	4396
76	365	4385
77	371	4386
78	374	4362
79	378	4348
80	380	4318
81	384	4307
82	391	4323
83	395	4310
84	398	4289
85	402	4283
86	405	4258
87	408	4231
88	412	4225
89	415	4200
90	417	4173
91	421	4164
92	425	4153
93	428	4125
94	431	4109
95	434	4091
96	437	4071
97	441	4062
98	446	4061
99	450	4051
100	453	4032
101	455	4013
102	459	3999
103	462	3987
104	465	3964
105	468	3954
106	472	3939
107	475	3925
108	479	3920
109	483	3910
110	485	3891
111	488	3874
112	493	3872
113	498	3870
114	501	3856
115	503	3835
116	507	3830
117	510	3816
118	514	3808
119	517	3793
120	522	3794
121	526	3787
122	528	3770
123	533	3772
124	537	3764
125	540	3749
126	547	3760
127	549	3746
128	552	3732
129	556	3723
130	560	3716
131	564	3714
132	567	3696
133	570	3686
134	572	3668
135	575	3654
136	578	3640
137	581	3633
138	584	3623
139	587	3609
140	591	3605
141	595	3599
142	600	3597
143	604	3593
144	606	3578
145	610	3572
