iter	RMSE
0	0.1894636331
1	0.1831014495
2	0.1768920363
3	0.1710880639
4	0.1659681789
5	0.1607082351
6	0.1558035161
7	0.1514979519
8	0.1475390479
9	0.1432931789
10	0.1396674249
11	0.1363601785
12	0.1329148898
13	0.129764245
14	0.1270152842
15	0.1246273528
16	0.1219912761
17	0.1197541356
18	0.1173596628
19	0.1152512859
20	0.1131554632
21	0.1112515811
22	0.1097143025
23	0.1080060458
24	0.1065967569
25	0.1053068658
26	0.1039417537
27	0.1026518402
28	0.1013276071
29	0.1001927527
30	0.09907271326
31	0.09814931776
32	0.09732541687
33	0.09642625053
34	0.09559839247
35	0.0947325873
36	0.09410324493
37	0.09339825506
38	0.09275279722
39	0.09221725106
40	0.09165554142
41	0.09113352953
42	0.09057805011
43	0.0900661893
44	0.08962158206
45	0.089234123
46	0.08902371664
47	0.0885938488
48	0.08820271391
49	0.08784965375
50	0.0873374039
51	0.0869303835
52	0.08671130458
53	0.08655616938
54	0.08627708835
55	0.08593474307
56	0.08564569451
57	0.08548075349
58	0.08528488986
59	0.08503508836
60	0.08488989127
61	0.08452385227
62	0.0841895067
63	0.08391408513
64	0.08369232368
65	0.08343031285
66	0.08329752999
67	0.08312184634
68	0.0830990313
69	0.08283716455
70	0.08262045717
71	0.08244431155
72	0.0822912094
73	0.0820887372
74	0.08192565069
75	0.08178837633
76	0.08163944466
77	0.08153202949
78	0.08151402641
79	0.08121704941
80	0.08109290083
81	0.08106460736
82	0.0809846152
83	0.08092061132
84	0.0807890591
85	0.08067121466
86	0.08055205964
87	0.08047652136
88	0.08039744689
89	0.08032299607
90	0.08016215163
91	0.08009324891
92	0.08004639509
93	0.07994244587
94	0.07988515084
95	0.07981891945
96	0.07979947965
97	0.07975606119
98	0.07966262355
99	0.07964919507
100	0.07961126677
101	0.07951574377
102	0.07946168189
103	0.07936134297
104	0.07931706182
105	0.07927981314
106	0.07927513864
107	0.07920436212
108	0.07906336337
109	0.07896932677
110	0.078918253
111	0.07886304332
112	0.07886165674
113	0.07885236095
114	0.07876008612
115	0.07867378454
116	0.07866010574
117	0.07861791724
118	0.07860987148
119	0.07851089338
120	0.07850335761
121	0.07841908836
122	0.07839785168
123	0.07833576923
124	0.07830286044
125	0.07825638717
126	0.07820966308
127	0.0781309784
128	0.07798518218
129	0.07797002925
130	0.07787721605
131	0.0778049124
132	0.07776388933
133	0.07765819997
134	0.07762313357
135	0.07757045225
136	0.07745214006
137	0.07745117225
138	0.07744325839
139	0.0772812384
140	0.07724632312
141	0.07722114687
142	0.07716679599
143	0.07711025726
144	0.07702644745
145	0.07699183043
146	0.07692766305
147	0.07684212878
148	0.07676228856
149	0.07671680784
150	0.07666885083
151	0.07666368651
152	0.07664155001
153	0.07659614931
154	0.07656691575
155	0.07651215245
156	0.07642069131
157	0.07641036068
158	0.07622308799
159	0.0761415737
160	0.07611927844
161	0.07605335998
162	0.0760035229
163	0.07593989834
164	0.07584567424
165	0.07583568877
166	0.07575954412
167	0.07564548205
168	0.07559874382
169	0.07555258841
170	0.07555198212
171	0.07547069266
172	0.07547010466
173	0.07540330361
174	0.07540216644
175	0.07540104133
176	0.0752874195
177	0.07525240062
178	0.0751956852
179	0.07512120172
180	0.07502618585
181	0.07491897896
182	0.07489284952
183	0.07488359152
184	0.07482734321
185	0.0747662588
186	0.07469178929
187	0.0746555668
188	0.0746309953
189	0.07450704082
190	0.07449818915
191	0.07443118233
192	0.07442269854
193	0.07432068794
194	0.07422358861
195	0.07413143488
196	0.0740361918
