iter	R2	RMSE
0	-1.793198557	0.3251247857
1	-1.554268024	0.3109083656
2	-1.343178058	0.2977843161
3	-1.144566816	0.2848845948
4	-0.9658572013	0.272756531
5	-0.8060749727	0.2614370062
6	-0.664999518	0.2510187892
7	-0.53239754	0.2408157555
8	-0.413324079	0.231270401
9	-0.3044718179	0.2221859153
10	-0.2124580309	0.214206444
11	-0.1239231653	0.2062374288
12	-0.04217346394	0.1985953977
13	0.02659958554	0.1919309168
14	0.09075425835	0.1854982481
15	0.1537027395	0.1789619247
16	0.2118158239	0.1727082287
17	0.2606607934	0.1672711501
18	0.3085141657	0.1617673303
19	0.3509107027	0.1567297347
20	0.3899279431	0.1519461642
21	0.4262549748	0.1473528842
22	0.453258695	0.1438434586
23	0.4840150614	0.139739018
24	0.5103825058	0.1361217857
25	0.5328343011	0.1329641765
26	0.551332093	0.130305179
27	0.5719472989	0.1272763744
28	0.5926757481	0.1241564564
29	0.6120473625	0.1211681644
30	0.6285289517	0.1185664072
31	0.6415952179	0.1164624903
32	0.6542887869	0.1143815316
33	0.6673646011	0.1121975586
34	0.6769719282	0.1105654167
35	0.6882419744	0.1086195491
36	0.697953055	0.106914448
37	0.7071995472	0.1052652549
38	0.715549483	0.1037534479
39	0.7235182711	0.1022898149
40	0.7315885557	0.1007858792
41	0.7361202017	0.09993146314
42	0.7423981384	0.09873557802
43	0.7477374438	0.0977069756
44	0.7526484494	0.09675122958
45	0.7583642518	0.09562683171
46	0.7627241278	0.09476019891
47	0.7667566487	0.09395152
48	0.7704224624	0.09321029256
49	0.7743936035	0.09240061861
50	0.7774683822	0.09176879667
51	0.7817761511	0.09087622541
52	0.7848400369	0.09023601442
53	0.7869322785	0.08979620965
54	0.7890966936	0.08933895508
55	0.7917992092	0.08876471475
56	0.7941029792	0.08827225187
57	0.7966039115	0.08773451362
58	0.7979029035	0.08745390601
59	0.7996248811	0.08708053146
60	0.8014175032	0.08669013072
61	0.8033028638	0.08627762723
62	0.8050623811	0.08589087021
63	0.8064008122	0.08559550133
64	0.807287531	0.08539925501
65	0.8086658644	0.08509330731
66	0.8093640066	0.08493792074
67	0.8108038443	0.08461655273
68	0.8121639375	0.08431185844
69	0.8137178604	0.08396238821
70	0.8145260559	0.08378005247
71	0.8160688912	0.08343086932
72	0.8174682699	0.08311288534
73	0.8185074527	0.08287596005
74	0.8195760868	0.08263161166
75	0.8206967131	0.08237459642
76	0.8213440295	0.08222576859
77	0.8221613355	0.0820374719
78	0.822233389	0.08202085098
79	0.8229126947	0.08186398642
80	0.8237596495	0.08166798651
81	0.8242291629	0.08155913008
82	0.8248466479	0.08141574496
83	0.8252981498	0.08131074244
84	0.8256941476	0.08121853637
85	0.8260417306	0.08113751709
86	0.826495843	0.08103154447
87	0.8273880801	0.08082292544
88	0.8275803144	0.08077790749
89	0.8282072815	0.080630908
90	0.8285919566	0.08054058379
91	0.8286934738	0.08051672998
92	0.8296873268	0.08028282706
93	0.830658763	0.08005353944
94	0.8310072675	0.07997112187
95	0.8313943445	0.07987948265
96	0.8321951627	0.07968955698
97	0.8328018448	0.07954537161
98	0.8337864846	0.07931080205
99	0.8341564921	0.07922247609
100	0.8348094346	0.07906636886
101	0.8352235205	0.07896720819
102	0.8356566197	0.07886336103
103	0.8359436588	0.0787944603
104	0.8365327385	0.07865286882
105	0.8368008512	0.07858834066
106	0.8371394258	0.07850677825
107	0.8379209317	0.07831818966
108	0.8381010802	0.07827465281
109	0.838544324	0.07816742993
110	0.8387853645	0.07810905926
111	0.8391119563	0.07802990172
112	0.8393244217	0.07797836236
113	0.8396166441	0.07790742004
114	0.840114842	0.07778632424
115	0.8406118789	0.0776653225
116	0.8408797114	0.07760004146
117	0.8412840366	0.07750138777
118	0.8417611032	0.07738482372
119	0.8419820595	0.07733077684
120	0.8421020153	0.07730141929
121	0.8421315258	0.07729419529
122	0.8422698002	0.07726033753
123	0.8426583145	0.07716512668
124	0.8431490168	0.07704470507
125	0.8431970249	0.07703291346
126	0.8432406375	0.07702219989
127	0.8435789972	0.0769390301
128	0.8438354079	0.07687594368
129	0.8445417622	0.0767018863
130	0.8449004378	0.07661335134
131	0.8450691329	0.07657167548
132	0.8455553012	0.0764514413
133	0.8456506241	0.07642784485
134	0.846125192	0.07631026054
135	0.8464670029	0.07622545726
136	0.846720924	0.0761623983
137	0.847051945	0.07608011383
138	0.8476346611	0.07593504687
139	0.8478606645	0.07587870878
140	0.8479462813	0.07585735529
141	0.848174475	0.0758004127
142	0.8482653924	0.07577771358
143	0.8486589501	0.07567937653
144	0.8486590629	0.07567934833
145	0.8490425922	0.07558339394
146	0.8490940606	0.07557050787
147	0.8492839239	0.07552295316
148	0.8495048085	0.07546759087
149	0.8500340004	0.07533478926
150	0.8501856157	0.07529669798
151	0.8504144441	0.07523917143
152	0.8505886782	0.07519534015
153	0.8508436346	0.07513115587
154	0.8510786976	0.07507193105
155	0.8517775765	0.07489556982
156	0.8522127344	0.07478554815
157	0.8523331466	0.07475507554
158	0.852465368	0.07472160009
159	0.8526521886	0.07467427574
160	0.8527697957	0.0746444688
161	0.8530574573	0.07457151214
162	0.8531242502	0.07455456193
163	0.8533633263	0.07449385936
164	0.853668969	0.07441618308
165	0.8542449739	0.07426957592
166	0.8549368643	0.07409308962
167	0.8554952475	0.073950351
168	0.855834089	0.07386359897
169	0.8562557291	0.07375550596
170	0.856711182	0.0736385663
171	0.8568627379	0.07359961243
172	0.8571046434	0.07353739354
173	0.8576492794	0.07339711835
174	0.8578863341	0.07333597926
