iter	Passed	Remaining
0	45	45243
1	53	26925
2	61	20525
3	70	17560
4	74	14809
5	78	12991
6	84	12047
7	91	11318
8	97	10766
9	100	9951
10	105	9441
11	108	8916
12	110	8394
13	112	7913
14	115	7617
15	128	7888
16	154	8918
17	159	8715
18	167	8633
19	175	8603
20	181	8479
21	184	8196
22	185	7864
23	188	7682
24	198	7746
25	206	7738
26	209	7535
27	218	7600
28	223	7494
29	228	7390
30	232	7264
31	234	7103
32	238	6990
33	242	6901
34	245	6766
35	249	6677
36	252	6570
37	255	6459
38	260	6418
39	263	6335
40	267	6253
41	269	6149
42	274	6103
43	277	6020
44	283	6020
45	290	6021
46	294	5963
47	298	5928
48	303	5893
49	310	5897
50	314	5858
51	318	5800
52	322	5766
53	325	5707
54	329	5654
55	334	5639
56	341	5646
57	347	5640
58	350	5588
59	353	5534
60	360	5543
61	363	5500
62	366	5455
63	372	5444
64	376	5418
65	381	5391
66	383	5346
67	389	5340
68	392	5294
69	397	5276
70	399	5227
71	402	5187
72	406	5161
73	409	5129
74	413	5099
75	416	5059
76	420	5035
77	423	5011
78	424	4950
79	428	4928
80	432	4902
81	436	4885
82	440	4866
83	444	4852
84	447	4820
85	451	4799
86	457	4796
87	461	4785
88	465	4769
89	470	4754
90	474	4736
91	476	4704
92	479	4673
93	482	4648
94	486	4632
95	501	4721
96	508	4732
97	511	4704
98	516	4696
99	520	4683
100	524	4672
101	528	4653
102	533	4646
103	538	4635
104	540	4610
105	543	4583
106	546	4559
107	552	4559
108	554	4534
109	558	4516
110	561	4494
111	564	4478
112	567	4457
113	570	4437
114	574	4421
115	577	4400
116	580	4379
117	585	4376
118	588	4357
119	593	4350
120	595	4328
121	596	4294
122	600	4279
123	603	4266
124	608	4258
125	611	4242
126	612	4210
127	614	4189
128	618	4178
129	623	4169
130	626	4158
131	635	4179
132	640	4178
133	644	4165
134	648	4154
135	651	4140
136	655	4126
137	659	4116
138	661	4100
139	664	4079
140	665	4056
141	668	4042
142	672	4029
143	676	4019
144	677	3992
145	679	3974
146	681	3953
147	685	3946
148	688	3929
149	692	3923
150	695	3908
151	699	3900
152	701	3883
153	705	3875
154	709	3869
155	713	3858
156	715	3842
157	718	3830
158	721	3814
159	723	3800
160	728	3796
161	732	3791
162	735	3775
163	739	3770
164	741	3753
165	744	3740
166	749	3736
167	752	3724
168	754	3708
169	756	3695
170	759	3679
171	762	3670
172	767	3667
173	770	3659
174	775	3653
175	782	3662
176	787	3661
177	791	3655
178	795	3649
179	801	3651
180	804	3638
181	807	3629
182	812	3629
183	818	3628
184	821	3620
185	826	3616
186	836	3638
187	839	3627
188	844	3623
189	847	3612
190	850	3604
191	854	3595
192	857	3585
193	861	3577
194	863	3566
195	867	3557
196	870	3549
197	874	3543
198	879	3539
199	883	3533
200	887	3527
201	891	3522
202	895	3517
203	900	3513
204	903	3505
205	907	3496
206	911	3491
207	914	3481
208	917	3473
209	920	3462
210	924	3455
211	926	3444
212	929	3433
213	932	3426
214	935	3414
215	941	3416
216	944	3407
217	947	3398
218	951	3392
219	954	3383
220	959	3383
221	964	3380
222	967	3370
223	970	3361
224	975	3358
225	977	3347
226	984	3353
227	987	3342
228	990	3336
229	994	3328
230	996	3318
231	999	3309
232	1003	3302
233	1009	3304
234	1014	3302
235	1019	3299
236	1023	3294
237	1061	3398
238	1067	3399
239	1075	3405
240	1082	3410
241	1090	3416
242	1094	3408
243	1098	3405
244	1103	3400
245	1110	3403
246	1115	3400
247	1119	3393
248	1123	3388
249	1126	3379
250	1130	3373
251	1133	3364
252	1138	3360
253	1141	3352
254	1143	3342
255	1148	3338
256	1151	3329
257	1154	3320
258	1158	3313
259	1160	3302
260	1162	3292
261	1165	3282
262	1169	3276
263	1172	3268
264	1175	3259
265	1235	3408
266	1255	3445
267	1261	3445
268	1265	3437
269	1267	3428
270	1272	3423
271	1276	3417
272	1281	3412
273	1289	3415
274	1294	3413
275	1296	3401
276	1302	3400
277	1309	3401
278	1313	3395
279	1317	3387
280	1321	3382
281	1338	3408
282	1342	3401
283	1345	3391
284	1348	3383
285	1352	3375
286	1354	3366
287	1361	3365
288	1364	3357
289	1369	3354
290	1373	3346
291	1378	3342
292	1381	3332
293	1386	3330
294	1391	3326
295	1394	3316
296	1398	3309
297	1402	3304
298	1405	3295
299	1409	3288
300	1413	3281
301	1415	3271
302	1417	3261
303	1420	3251
304	1426	3250
305	1430	3243
306	1434	3237
307	1439	3233
308	1443	3228
309	1445	3217
310	1450	3214
311	1454	3206
312	1457	3198
313	1459	3188
314	1465	3187
315	1468	3177
316	1470	3168
317	1475	3163
318	1476	3152
319	1480	3146
320	1486	3143
321	1490	3138
322	1496	3135
323	1502	3135
324	1505	3126
325	1510	3123
326	1513	3114
327	1517	3109
328	1519	3098
329	1537	3121
330	1543	3119
331	1550	3118
332	1555	3115
333	1560	3111
334	1564	3104
335	1576	3115
336	1587	3122
337	1592	3120
338	1602	3123
339	1610	3126
340	1619	3129
341	1626	3128
342	1635	3132
343	1641	3130
344	1646	3125
345	1657	3133
346	1664	3131
347	1673	3135
348	1683	3139
349	1691	3141
350	1699	3142
351	1704	3138
352	1708	3130
353	1711	3123
354	1717	3120
355	1719	3110
356	1723	3104
357	1726	3095
358	1728	3087
359	1732	3079
360	1736	3073
361	1743	3073
362	1752	3074
363	1756	3069
364	1760	3062
365	1765	3057
366	1768	3049
367	1771	3042
368	1776	3037
369	1779	3029
370	1782	3022
371	1786	3016
372	1790	3009
373	1794	3003
374	1797	2995
375	1799	2986
376	1803	2980
377	1806	2972
378	1813	2971
