iter	Passed	Remaining
0	16	16357
1	37	18943
2	42	14056
3	48	12019
4	53	10722
5	58	9744
6	61	8687
7	66	8238
8	69	7634
9	73	7230
10	76	6856
11	80	6644
12	85	6461
13	89	6271
14	92	6087
15	94	5827
16	97	5615
17	98	5392
18	101	5223
19	106	5207
20	108	5078
21	110	4910
22	115	4900
23	118	4836
24	121	4750
25	127	4786
26	130	4686
27	133	4632
28	135	4529
29	138	4475
30	140	4405
31	149	4523
32	154	4527
33	157	4485
34	166	4586
35	170	4566
36	173	4507
37	178	4514
38	183	4533
39	192	4612
40	195	4564
41	199	4550
42	206	4606
43	212	4617
44	217	4610
45	221	4586
46	225	4573
47	231	4599
48	235	4561
49	238	4535
50	241	4501
51	244	4450
52	247	4426
53	251	4400
54	255	4387
55	258	4356
56	263	4361
57	269	4372
58	273	4358
59	277	4342
60	280	4312
61	282	4277
62	287	4269
63	291	4265
64	295	4249
65	301	4265
66	307	4281
67	310	4251
68	317	4284
69	322	4278
70	324	4246
71	327	4219
72	332	4226
73	338	4232
74	341	4213
75	346	4209
76	349	4186
77	349	4136
78	352	4111
79	357	4107
80	361	4106
81	365	4089
82	369	4086
83	373	4071
84	374	4027
85	377	4009
86	381	4002
87	386	4005
88	388	3972
89	390	3944
90	392	3920
91	393	3887
92	398	3882
93	401	3871
94	403	3841
95	407	3836
96	410	3820
97	413	3807
98	417	3798
99	423	3813
100	426	3796
101	429	3781
102	431	3761
103	435	3749
104	438	3738
105	442	3732
106	444	3712
107	448	3701
108	451	3692
109	454	3677
110	457	3664
111	462	3668
112	464	3649
113	467	3632
114	470	3622
115	474	3612
116	478	3613
117	482	3604
118	485	3595
119	489	3589
120	492	3580
121	496	3574
122	500	3565
123	503	3557
124	506	3544
125	508	3527
126	511	3512
127	513	3500
128	516	3487
129	519	3476
130	523	3472
131	526	3464
132	528	3447
133	532	3438
134	536	3436
135	541	3442
136	544	3430
137	546	3414
138	548	3399
139	552	3392
140	554	3378
141	557	3367
142	560	3359
143	562	3345
144	566	3342
145	569	3328
146	571	3313
147	574	3305
148	577	3297
149	582	3300
150	587	3300
151	590	3292
152	592	3282
153	596	3278
154	599	3265
155	602	3261
156	607	3259
157	610	3252
158	614	3251
159	617	3240
160	621	3238
161	625	3235
162	629	3232
163	634	3232
164	642	3249
165	644	3238
166	648	3233
167	652	3233
168	656	3228
169	658	3214
170	662	3209
171	668	3216
172	671	3209
173	673	3199
174	678	3196
175	682	3195
176	684	3184
177	687	3174
178	690	3165
179	692	3156
180	695	3145
181	698	3139
182	702	3135
183	705	3127
184	707	3118
185	710	3109
186	714	3106
187	717	3098
188	720	3093
189	724	3087
190	729	3088
191	732	3082
192	736	3080
193	740	3075
194	742	3066
195	746	3060
196	748	3051
197	752	3048
198	755	3038
199	758	3034
200	762	3029
201	766	3027
202	770	3023
203	773	3018
204	778	3018
205	782	3014
206	786	3012
207	789	3005
208	794	3005
209	797	3000
210	802	2999
211	805	2995
212	809	2990
213	811	2981
214	814	2972
215	817	2968
216	821	2962
217	823	2954
218	828	2955
219	832	2952
220	837	2951
221	843	2955
222	847	2953
223	853	2955
224	857	2954
225	864	2959
226	867	2952
227	870	2946
228	874	2943
229	877	2939
230	882	2938
231	888	2940
232	894	2944
233	900	2947
234	903	2941
235	906	2935
236	909	2928
237	913	2926
238	917	2922
239	922	2920
240	927	2921
241	930	2914
242	935	2912
243	939	2909
244	942	2903
245	945	2899
246	949	2895
247	952	2888
248	960	2897
249	965	2895
250	968	2890
251	972	2885
252	975	2880
253	978	2873
254	983	2872
255	985	2865
256	994	2874
257	1000	2878
258	1005	2877
259	1008	2870
260	1012	2865
261	1015	2860
262	1019	2856
263	1025	2859
264	1030	2857
265	1033	2852
266	1038	2852
267	1042	2846
268	1045	2841
269	1049	2838
270	1053	2834
271	1057	2830
272	1060	2824
273	1064	2821
274	1068	2816
275	1070	2808
276	1073	2803
277	1077	2797
278	1080	2791
279	1083	2786
280	1088	2784
281	1092	2781
282	1095	2774
283	1103	2780
284	1107	2779
285	1113	2779
286	1119	2782
287	1123	2776
288	1129	2779
289	1134	2777
290	1137	2771
291	1142	2770
292	1148	2771
293	1155	2775
294	1160	2772
295	1163	2767
296	1170	2770
297	1173	2764
298	1249	2929
299	1272	2969
300	1285	2985
301	1289	2979
302	1292	2972
303	1295	2966
304	1300	2963
305	1313	2979
306	1321	2982
307	1324	2975
308	1327	2968
309	1339	2981
310	1344	2979
311	1347	2972
312	1351	2966
313	1356	2962
314	1362	2962
315	1366	2957
316	1371	2955
317	1377	2953
318	1379	2944
319	1383	2940
320	1386	2933
321	1390	2928
322	1393	2920
323	1396	2913
324	1403	2914
325	1410	2915
326	1413	2908
327	1418	2905
328	1420	2897
329	1425	2893
330	1431	2893
331	1434	2885
332	1439	2882
333	1443	2878
334	1446	2871
335	1449	2865
336	1454	2860
337	1457	2855
338	1461	2850
339	1465	2845
340	1469	2840
341	1474	2836
342	1477	2830
343	1481	2824
344	1485	2820
345	1488	2813
346	1492	2807
347	1495	2801
348	1497	2794
349	1502	2790
350	1506	2786
351	1510	2779
352	1513	2774
353	1517	2770
354	1520	2762
355	1526	2761
356	1529	2754
357	1533	2749
358	1537	2745
359	1540	2739
360	1543	2731
361	1547	2727
362	1550	2720
363	1554	2716
364	1557	2710
365	1561	2704
366	1564	2698
367	1567	2692
368	1572	2688
369	1574	2681
370	1576	2673
371	1579	2666
372	1581	2658
373	1584	2651
374	1588	2646
375	1591	2641
376	1595	2636
377	1599	2631
378	1603	2626
379	1607	2622
380	1611	2617
381	1616	2614
382	1622	2614
383	1628	2612
384	1633	2608
385	1637	2604
386	1639	2597
387	1644	2594
388	1648	2588
389	1652	2585
390	1658	2583
391	1661	2577
392	1665	2573
393	1671	2570
394	1674	2564
395	1677	2558
396	1680	2552
397	1684	2547
398	1689	2544
399	1694	2541
400	1700	2539
401	1704	2534
402	1707	2529
403	1710	2524
404	1714	2519
405	1717	2512
406	1721	2508
407	1725	2503
408	1728	2497
409	1732	2493
410	1738	2491
411	1741	2485
412	1745	2480
413	1748	2474
414	1751	2469
415	1753	2462
416	1758	2458
417	1761	2452
418	1763	2445
419	1834	2533
420	1871	2574
421	1876	2570
422	1882	2568
423	1887	2564
424	1890	2558
425	1894	2552
426	1898	2548
427	1903	2544
428	1908	2539
429	1910	2532
430	1913	2525
431	1917	2520
432	1919	2513
433	1922	2506
434	1926	2501
435	1931	2498
436	1935	2493
437	1937	2486
438	1947	2488
439	1955	2488
440	1958	2482
441	1961	2476
442	1965	2471
443	1970	2467
444	1973	2461
445	1978	2457
446	1981	2451
447	1984	2444
448	1989	2441
449	1991	2434
450	1994	2428
451	2000	2424
452	2003	2418
453	2006	2413
454	2010	2408
455	2014	2403
456	2017	2396
457	2022	2393
458	2025	2387
459	2028	2381
460	2032	2376
461	2037	2372
462	2041	2367
463	2045	2362
464	2048	2356
465	2050	2349
466	2052	2342
467	2055	2336
468	2058	2331
469	2062	2325
470	2065	2320
471	2068	2314
472	2072	2309
473	2076	2303
474	2080	2299
475	2084	2294
476	2086	2287
477	2088	2280
478	2091	2274
479	2094	2268
480	2097	2263
481	2099	2256
482	2102	2250
483	2106	2245
484	2108	2239
485	2112	2234
486	2115	2228
487	2119	2223
488	2123	2218
489	2125	2212
490	2129	2207
491	2132	2201
492	2137	2197
493	2139	2191
494	2144	2187
495	2152	2186
496	2157	2183
497	2161	2178
498	2164	2173
499	2166	2166
500	2170	2161
501	2172	2154
502	2174	2148
503	2178	2144
504	2183	2140
505	2187	2135
506	2191	2130
507	2195	2126
508	2198	2120
509	2202	2116
510	2204	2109
511	2207	2103
512	2211	2098
513	2214	2094
514	2220	2090
515	2225	2087
516	2229	2082
517	2232	2077
518	2235	2072
519	2240	2067
520	2242	2061
521	2245	2056
522	2249	2052
523	2253	2047
524	2275	2059
525	2282	2056
526	2285	2051
527	2290	2047
528	2295	2044
529	2300	2040
530	2304	2035
531	2311	2033
532	2316	2030
533	2320	2024
534	2326	2022
535	2329	2016
536	2333	2012
537	2337	2006
538	2341	2002
539	2345	1997
540	2350	1993
541	2353	1988
542	2360	1986
543	2365	1983
544	2369	1977
545	2374	1973
546	2377	1969
547	2382	1965
548	2386	1960
549	2392	1957
550	2402	1957
551	2423	1966
552	2433	1967
553	2444	1968
554	2456	1969
555	2464	1968
556	2474	1967
557	2491	1973
558	2502	1974
559	2506	1969
560	2509	1963
561	2514	1959
562	2518	1954
563	2520	1948
564	2523	1942
565	2526	1936
566	2529	1931
567	2532	1926
568	2535	1920
569	2538	1914
570	2541	1909
571	2545	1904
572	2548	1899
573	2551	1893
574	2555	1888
575	2558	1883
576	2561	1877
577	2566	1873
578	2569	1868
579	2572	1862
580	2574	1856
581	2578	1851
582	2581	1846
583	2585	1841
584	2588	1836
585	2592	1831
586	2603	1831
587	2606	1826
588	2611	1822
589	2618	1819
590	2625	1816
591	2627	1811
592	2631	1806
593	2634	1800
594	2641	1798
595	2646	1793
596	2655	1792
597	2660	1788
598	2669	1786
599	2674	1783
600	2680	1779
601	2684	1774
602	2688	1770
603	2693	1765
604	2699	1762
605	2710	1762
606	2712	1756
607	2718	1752
608	2723	1748
609	2727	1744
610	2730	1738
611	2734	1733
612	2738	1728
613	2746	1726
614	2752	1723
615	2758	1719
616	2761	1714
617	2767	1710
618	2770	1705
619	2777	1702
620	2784	1699
621	2786	1693
622	2791	1689
623	2795	1684
624	2799	1679
625	2801	1673
626	2806	1669
627	2810	1664
628	2816	1661
629	2819	1656
630	2824	1651
631	2827	1646
632	2832	1642
633	2838	1638
634	2841	1633
635	2847	1629
636	2851	1624
637	2855	1619
638	2859	1615
639	2863	1610
640	2867	1605
641	2870	1600
642	2873	1595
643	2879	1591
644	2883	1587
645	2889	1583
646	2900	1582
647	2904	1577
648	2908	1572
649	2911	1567
650	2916	1563
651	2920	1558
652	2926	1555
653	2930	1550
654	2943	1550
655	2948	1546
656	2951	1541
657	2954	1535
658	2957	1530
659	2961	1525
660	2964	1520
661	2969	1516
662	2973	1511
663	2980	1508
664	2983	1503
665	2988	1498
666	2993	1494
667	2997	1489
668	3002	1485
669	3004	1479
670	3010	1475
671	3014	1471
672	3018	1466
673	3022	1461
674	3028	1458
675	3032	1453
676	3040	1450
677	3045	1446
678	3051	1442
679	3059	1439
680	3065	1436
681	3069	1431
682	3074	1426
683	3084	1424
684	3094	1423
685	3099	1418
686	3106	1415
687	3115	1412
688	3122	1409
689	3128	1405
690	3133	1401
691	3136	1395
692	3146	1394
693	3150	1389
694	3155	1384
695	3159	1379
696	3163	1375
697	3168	1370
698	3172	1366
699	3176	1361
700	3180	1356
701	3182	1351
702	3185	1345
703	3189	1341
704	3196	1337
705	3202	1333
706	3207	1329
707	3213	1325
708	3216	1320
709	3219	1314
710	3223	1310
711	3226	1305
712	3231	1300
713	3235	1296
714	3251	1295
715	3258	1292
716	3260	1287
717	3264	1282
718	3268	1277
719	3274	1273
720	3279	1268
721	3281	1263
722	3286	1259
723	3291	1254
724	3294	1249
725	3301	1246
726	3308	1242
727	3312	1237
728	3316	1232
729	3322	1228
730	3324	1223
731	3331	1219
732	3338	1216
733	3341	1211
734	3348	1207
735	3352	1202
736	3355	1197
737	3358	1192
738	3363	1188
739	3370	1184
740	3374	1179
741	3378	1174
742	3381	1169
743	3384	1164
744	3397	1162
745	3406	1159
746	3409	1154
747	3413	1149
748	3416	1145
749	3423	1141
750	3428	1136
751	3434	1132
752	3441	1128
753	3445	1124
754	3469	1125
755	3477	1122
756	3484	1118
757	3490	1114
758	3498	1110
759	3505	1106
760	3511	1102
761	3520	1099
762	3523	1094
763	3529	1090
764	3535	1086
765	3538	1080
766	3540	1075
767	3545	1071
768	3550	1066
769	3555	1062
770	3560	1057
771	3563	1052
772	3572	1049
773	3577	1044
774	3582	1040
775	3585	1034
776	3588	1030
