iter	R2	RMSE
0	-1.768884579	0.3261097217
1	-1.533937915	0.3119674653
2	-1.325767365	0.2988783491
3	-1.136580327	0.2864645806
4	-0.9636001273	0.2746235932
5	-0.8024584494	0.2631139961
6	-0.6604237981	0.2525345445
7	-0.5274775654	0.2422137199
8	-0.4079101033	0.2325405965
9	-0.2998484186	0.2234383289
10	-0.2009452463	0.2147696568
11	-0.1102490998	0.2065007029
12	-0.0302350216	0.1989204688
13	0.04211617187	0.1918084519
14	0.1069251641	0.1852060825
15	0.165945827	0.178981626
16	0.2195744244	0.1731318885
17	0.2682263841	0.1676485081
18	0.3147886798	0.162227167
19	0.3565569536	0.1572050074
20	0.3958109548	0.1523343146
21	0.4282097067	0.1481936889
22	0.4609866447	0.1438835294
23	0.4891065082	0.1400801199
24	0.5153314972	0.136437489
25	0.541057045	0.1327671624
26	0.5615648347	0.1297669238
27	0.5826965931	0.1266010433
28	0.5973926746	0.1243518228
29	0.6148270182	0.1216295857
30	0.6310712963	0.119037156
31	0.646269091	0.1165595399
32	0.6597263611	0.1143208572
33	0.6703024634	0.1125302207
34	0.6821787191	0.1104848693
35	0.6922931036	0.108712613
36	0.7016307771	0.107050409
37	0.7104471191	0.1054569641
38	0.7189885555	0.1038898988
39	0.7259400301	0.1025968725
40	0.7326224511	0.1013383406
41	0.738038386	0.1003067475
42	0.7443526985	0.09909047858
43	0.7498505192	0.09801919295
44	0.7543973012	0.09712429667
45	0.759431461	0.09612375654
46	0.764361074	0.09513379833
47	0.768613369	0.09427150726
48	0.7729014565	0.09339389626
49	0.7767121991	0.09260700048
50	0.7797482429	0.09197525708
51	0.7831093502	0.0912707742
52	0.7858033816	0.09070215896
53	0.7889631033	0.09003067691
54	0.7907536303	0.08964793402
55	0.793624851	0.08903074744
56	0.7965158846	0.08840494855
57	0.7982427694	0.08802902131
58	0.80040806	0.08755537636
59	0.8019370174	0.08721937632
60	0.8035407042	0.08686555745
61	0.8053193188	0.0864714513
62	0.8070060651	0.08609603475
63	0.8087233394	0.0857121344
64	0.8099013337	0.08544779389
65	0.8114813927	0.08509194111
66	0.8129054461	0.08476994325
67	0.8142608287	0.08446233262
68	0.8151651455	0.08425646891
69	0.8164495754	0.08396320661
70	0.8172084739	0.08378945176
71	0.8182335466	0.08355418091
72	0.8192156241	0.08332815512
73	0.8200943016	0.08312540596
74	0.8208744331	0.08294498032
75	0.8222154504	0.08263391467
76	0.8230902718	0.08243035632
77	0.8232092326	0.08240263701
78	0.8238990703	0.0822417123
79	0.8245982706	0.08207828153
80	0.8250722966	0.08196729754
81	0.8252555379	0.08192435486
82	0.8261278473	0.08171961935
83	0.8264521901	0.0816433635
84	0.8266176099	0.08160444439
85	0.827027879	0.08150783825
86	0.8274204551	0.08141529093
87	0.8275883521	0.08137567817
88	0.8278213334	0.08132067775
89	0.8278850568	0.08130562796
90	0.8284253822	0.08117790508
91	0.8284446774	0.08117334035
92	0.8295483834	0.08091180352
93	0.8300477317	0.08079319861
94	0.830081774	0.08078510655
95	0.830650764	0.08064973418
96	0.8312443031	0.08050827862
97	0.8316592461	0.08040923927
98	0.8317369655	0.08039067548
99	0.8324322398	0.08022441369
100	0.8330685592	0.08007194729
101	0.8337630916	0.07990520062
102	0.8340688498	0.07983168231
103	0.8344270463	0.07974546921
104	0.8347883143	0.07965842232
105	0.8352099362	0.07955671284
106	0.8354857571	0.07949010507
107	0.8359088318	0.07938782852
108	0.8362263015	0.07931099491
109	0.8363210932	0.0792880391
110	0.8366120444	0.07921753762
111	0.8368751911	0.07915371949
112	0.8372023922	0.07907429507
113	0.8377278491	0.07894657907
114	0.8378450959	0.07891805321
115	0.8385712768	0.07874114494
116	0.8387337365	0.07870151295
117	0.8390670373	0.07862014179
118	0.8391430282	0.0786015778
119	0.839530456	0.07850686385
120	0.8397844862	0.07844469936
121	0.8398378535	0.07843163343
122	0.8400007161	0.07839174626
123	0.8402325774	0.07833492538
124	0.8403567514	0.07830447784
125	0.8406627384	0.07822939903
126	0.8408486414	0.07818374956
127	0.8412039704	0.07809642239
128	0.8416601148	0.07798417505
129	0.8417799497	0.07795465944
130	0.8427551389	0.07771405137
131	0.8432874196	0.07758240714
132	0.8434571591	0.07754037999
133	0.8435380549	0.07752034234
134	0.8436669306	0.07748840952
135	0.8440059907	0.07740433425
136	0.8441486617	0.07736892944
137	0.8443493458	0.07731910081
138	0.8444819011	0.07728617052
139	0.8448552989	0.07719333301
140	0.8452096551	0.07710512639
141	0.8455483405	0.07702072618
142	0.8456844751	0.07698677542
143	0.8459055757	0.076931603
144	0.8460268285	0.07690132932
145	0.8463353024	0.07682425763
146	0.8466068243	0.0767563543
147	0.8467014705	0.07673267066
148	0.8474283217	0.07655054399
149	0.8480620583	0.07639139465
150	0.848621834	0.07625054273
151	0.8488584418	0.07619092867
152	0.8490125766	0.07615206886
153	0.8491440473	0.07611890731
154	0.8491682163	0.07611280947
155	0.8495486663	0.07601675744
156	0.8502838219	0.07583080834
157	0.8507178525	0.07572081094
158	0.8512834134	0.0755772393
159	0.8514918064	0.07552426844
160	0.8517931064	0.07544761605
161	0.8518970994	0.07542114158
162	0.8520642315	0.07537857369
163	0.8526562717	0.07522758963
164	0.852890464	0.07516778144
165	0.8528905824	0.0751677512
166	0.8531393061	0.07510417978
167	0.853469307	0.0750197515
168	0.8541127605	0.07485485488
169	0.854255554	0.07481821219
170	0.8542928198	0.07480864634
171	0.8545073784	0.07475354696
172	0.8549882937	0.07462989848
173	0.8551462422	0.07458924351
174	0.8554289102	0.07451643114
