iter	R2	RMSE
0	-1.773362609	0.3264286946
1	-1.538098972	0.3122764811
2	-1.329618293	0.299176436
3	-1.141398326	0.2868360477
4	-0.9672430348	0.2749248574
5	-0.8051325331	0.2633537744
6	-0.6633836149	0.25280241
7	-0.5305999498	0.242502292
8	-0.4104600253	0.2327905741
9	-0.3028266733	0.2237321113
10	-0.2031577362	0.2150038735
11	-0.1123054232	0.2067269169
12	-0.03260296328	0.1991827315
13	0.03954399784	0.1920983956
14	0.1034139154	0.185601293
15	0.1637494564	0.1792475411
16	0.2185237431	0.1732777875
17	0.2708093588	0.167380763
18	0.3150640354	0.1622220875
19	0.3563750398	0.1572539052
20	0.3928264387	0.1527360049
21	0.422160556	0.1490007973
22	0.4538614879	0.144855971
23	0.4817468261	0.1411094131
24	0.5041355092	0.1380277806
25	0.5298268384	0.1344045335
26	0.5539520325	0.1309108922
27	0.5761768765	0.1276078302
28	0.5928227184	0.1250768023
29	0.6080207322	0.1227203398
30	0.6235180804	0.1202699312
31	0.6379260771	0.1179461106
32	0.651197611	0.1157643202
33	0.6639404556	0.113630029
34	0.6763464053	0.1115129276
35	0.6857304353	0.1098844307
36	0.6952018792	0.1082159167
37	0.7026880541	0.1068787043
38	0.7109701289	0.1053795561
39	0.7181693001	0.1040588806
40	0.7233273562	0.1031022422
41	0.7275043712	0.1023209987
42	0.7339281986	0.1011077452
43	0.7395596721	0.100032038
44	0.7452468986	0.09893381134
45	0.7481577317	0.09836697396
46	0.7539284138	0.09723345878
47	0.7590496848	0.09621632162
48	0.7628835308	0.09544778624
49	0.7672536377	0.09456413434
50	0.7708693253	0.09382673789
51	0.7738483418	0.09321480352
52	0.7776590061	0.09242613057
53	0.7798680859	0.09196583223
54	0.7826462955	0.09138365486
55	0.7851548466	0.09085477995
56	0.7864601933	0.0905783537
57	0.7882155257	0.09020530099
58	0.7907941389	0.08965446515
59	0.7929749304	0.08918595559
60	0.7943526637	0.08888869794
61	0.7952849379	0.08868698666
62	0.7969875897	0.08831740383
63	0.7993480637	0.08780245878
64	0.8000738696	0.0876435137
65	0.8014671408	0.08733758903
66	0.8031194786	0.08697338553
67	0.8045661807	0.08665325081
68	0.8063942418	0.08624702735
69	0.8076169756	0.08597424571
70	0.8093457379	0.08558708983
71	0.81093813	0.08522891799
72	0.811960943	0.08499806375
73	0.8130755953	0.0847457648
74	0.8140590248	0.08452254251
75	0.8151512264	0.08427393776
76	0.816059046	0.08406674218
77	0.8170180433	0.08384730999
78	0.8176699362	0.08369781918
79	0.8185272015	0.08350082542
80	0.8188135033	0.08343493159
81	0.8192941933	0.08332418114
82	0.8203475523	0.08308097215
83	0.8211171004	0.08290284092
84	0.8219849285	0.08270150005
85	0.822583877	0.0825622543
86	0.8233354765	0.08238718677
87	0.8237337482	0.08229426773
88	0.8243047727	0.08216086112
89	0.8246564881	0.08207858308
90	0.8248623913	0.08203037711
91	0.8253042372	0.08192683662
92	0.8260880464	0.08174283901
93	0.8266166163	0.08161852415
94	0.8270582817	0.08151450303
95	0.8275799006	0.08139148004
96	0.8281633278	0.08125365898
97	0.8285223	0.0811687439
98	0.8297273791	0.08088302973
99	0.8301181277	0.08079016957
100	0.8313164433	0.08050472578
101	0.8320618479	0.08032665558
102	0.832689473	0.08017641511
103	0.833689561	0.07993643124
104	0.8344139389	0.07976215664
105	0.8347725412	0.07967574116
106	0.8350403228	0.07961115035
107	0.8353768535	0.07952990239
108	0.8356576823	0.07946203884
109	0.8362088688	0.07932867335
110	0.8366238031	0.07922812743
111	0.8373803744	0.07904446762
112	0.8378723957	0.07892479871
113	0.8381839289	0.07884893404
114	0.83840177	0.07879584191
115	0.8385523373	0.07875912478
116	0.83875688	0.07870921786
117	0.8389885386	0.07865265661
118	0.8394537209	0.07853895575
119	0.8396731238	0.07848527164
120	0.8400121931	0.07840223495
121	0.8401285049	0.07837373038
122	0.8407083598	0.07823147028
123	0.8408123734	0.07820592446
124	0.8412233544	0.07810490555
125	0.8416321315	0.0780042986
126	0.8417298182	0.07798023704
127	0.8418907716	0.07794057581
128	0.842343064	0.07782901629
129	0.8426445879	0.07775455544
130	0.843404501	0.07756657901
131	0.8435156969	0.07753903476
132	0.8437171867	0.0774890989
133	0.8440686804	0.07740190997
134	0.8446124168	0.07726684091
135	0.8450774608	0.07715113216
136	0.8454851235	0.07704955768
137	0.8455233612	0.07704002338
138	0.8456141059	0.07701739213
139	0.8459323712	0.07693796579
140	0.846314938	0.07684238373
141	0.8465421822	0.07678555178
142	0.8466583656	0.07675647897
143	0.8469476497	0.07668404296
144	0.8472722044	0.07660269376
145	0.8474646346	0.07655442056
146	0.8478414801	0.07645979652
147	0.8479811941	0.07642468525
148	0.8483660044	0.07632789576
149	0.8487320068	0.07623572292
150	0.8493813093	0.07607192994
151	0.849809345	0.07596376053
152	0.8500756659	0.07589638046
153	0.8504572761	0.07579972741
154	0.8507776081	0.07571849948
155	0.8514049326	0.07555917317
156	0.8514544586	0.07554658039
157	0.8517613883	0.07546849162
158	0.8520781072	0.07538782749
159	0.8525926558	0.0752565944
160	0.8527129031	0.07522589292
161	0.8531169519	0.07512263945
162	0.8534537723	0.07503645741
163	0.8535379305	0.07501490844
164	0.8540013418	0.07489613948
165	0.8542030098	0.07484439455
166	0.8545533305	0.07475442251
167	0.8550925446	0.07461572539
168	0.8556071808	0.07448310935
169	0.8558153063	0.07442941061
170	0.8562258387	0.07432337486
171	0.8563359549	0.07429490738
172	0.8566256752	0.07421995609
173	0.8569355949	0.07413969533
174	0.8574031871	0.07401843694
175	0.8577743275	0.07392204933
176	0.8583307247	0.07377731341
177	0.858878251	0.07363460738
178	0.8589992238	0.07360303997
179	0.8591647771	0.07355981749
180	0.8595046413	0.07347100644
181	0.8598436036	0.073382324
182	0.8600538701	0.07332725824
183	0.8605471286	0.07319791841
184	0.8607806472	0.07313660651
185	0.86118274	0.07303091371
186	0.8617119048	0.07289158564
187	0.8618843763	0.07284611663
188	0.8624324081	0.07270144917
189	0.8625278562	0.0726762237
190	0.862680361	0.0726359008
191	0.8629081165	0.07257563959
192	0.8634000769	0.0724453021
193	0.8637979353	0.07233972373
194	0.8639850203	0.07229002433
195	0.8642908229	0.07220871372
196	0.8646180567	0.07212160321
197	0.8649581404	0.07203096038
198	0.8653550064	0.07192503887
199	0.8657987399	0.07180642366
200	0.8661319196	0.07171723185
201	0.8665172073	0.07161395228
202	0.8668836331	0.07151559041
203	0.8671950358	0.07143189226
204	0.8673964731	0.07137769808
205	0.8677934552	0.07127077444
206	0.868128393	0.07118043695
207	0.8682993292	0.0711342888
208	0.8685767916	0.07105931766
209	0.8689173228	0.07096719692
210	0.869168491	0.07089917401
211	0.8694737945	0.07081640187
212	0.8697167052	0.07075047613
213	0.8698878567	0.07070398886
214	0.8701825709	0.07062386844
215	0.8702133447	0.07061549707
216	0.8705043674	0.07053628151
217	0.8706447211	0.07049804583
218	0.8708387359	0.07044515738
219	0.8708666904	0.07043753371
220	0.8711167133	0.07036931147
221	0.8715770851	0.07024351926
222	0.8719486002	0.0701418418
223	0.8723050364	0.07004415246
224	0.8723930716	0.07002000345
225	0.8726927334	0.06993774047
226	0.8728570301	0.06989259673
227	0.8731447472	0.06981347053
228	0.8736636893	0.06967052697
229	0.8738665019	0.06961458212
230	0.8741778109	0.06952862146
231	0.8743339663	0.06948546278
232	0.8745783725	0.06941785923
233	0.8747479866	0.06937090468
234	0.8748803223	0.06933424789
235	0.8751504688	0.06925935749
236	0.8753090559	0.06921535598
237	0.8753694009	0.06919860536
238	0.8756539514	0.06911956479
239	0.875896524	0.0690521131
240	0.8760140424	0.06901941129
241	0.8764312094	0.06890320103
242	0.8765357722	0.06887404224
243	0.8765889982	0.06885919468
244	0.8768099542	0.06879752405
245	0.8771095829	0.06871380678
246	0.8771656068	0.06869814221
247	0.8772241504	0.06868176929
248	0.8776938792	0.06855025842
249	0.8777665756	0.06852988289
250	0.878140464	0.06842499281
251	0.8784015993	0.06835163881
252	0.8786779892	0.06827391392
253	0.8789115297	0.06820816983
254	0.8792681884	0.06810764428
255	0.8793764794	0.06807709266
256	0.8796469444	0.06800072777
257	0.8797542681	0.0679704015
258	0.8798883492	0.06793249543
259	0.8802206093	0.06783847088
260	0.8806532265	0.06771585113
261	0.8809183431	0.06764059742
262	0.8810177042	0.06761237204
263	0.8812546452	0.06754501695
264	0.8813639439	0.06751392403
265	0.881639577	0.06743544917
266	0.8818639629	0.0673714973
267	0.8820532332	0.06731750642
268	0.8821694024	0.06728434677
269	0.882390361	0.06722123061
270	0.88251097	0.067186754
271	0.8828037779	0.06710297985
272	0.8829267216	0.06706777373
273	0.8831091866	0.06701548896
274	0.8832899882	0.0669636406
275	0.8834023227	0.06693140627
276	0.8834244655	0.06692505057
277	0.8838190659	0.06681168614
278	0.883965669	0.06676951962
279	0.8840299004	0.06675103675
280	0.884211639	0.06669871295
281	0.884548131	0.06660172601
282	0.8847924193	0.06653122636
283	0.8851208196	0.06643633472
284	0.8852775393	0.06639100259
285	0.8853005161	0.06638435381
286	0.8856136537	0.06629367492
287	0.8858877413	0.06621420228
288	0.8860127562	0.06617792207
289	0.8861808446	0.06612911027
290	0.886312628	0.06609081601
291	0.8865102248	0.06603335574
292	0.8866108426	0.06600407732
293	0.8868914328	0.06592236064
294	0.8870724836	0.06586957917
295	0.8873133526	0.06579929333
296	0.8874605782	0.06575629574
297	0.8878269542	0.06564917253
298	0.8879692633	0.06560751617
299	0.8882260643	0.06553227905
300	0.8883625934	0.06549224379
301	0.8885490845	0.0654375183
302	0.8887877304	0.06536742123
303	0.8891486055	0.06526127899
304	0.8893275091	0.06520859497
305	0.8895762978	0.06513526016
306	0.8898161453	0.06506448269
307	0.8900395252	0.06499849539
