iter	Passed	Remaining
0	8	8315
1	11	5871
2	14	4938
3	20	5021
4	40	8034
5	56	9289
6	63	8992
7	72	8988
8	81	8923
9	91	9054
10	95	8582
11	99	8158
12	102	7770
13	106	7489
14	108	7124
15	111	6880
16	116	6729
17	122	6656
18	126	6508
19	131	6423
20	137	6415
21	139	6181
22	141	6001
23	144	5872
24	146	5713
25	148	5570
26	151	5472
27	157	5464
28	161	5396
29	162	5262
30	166	5193
31	172	5207
32	179	5269
33	184	5229
34	186	5151
35	189	5061
36	204	5318
37	216	5481
38	223	5503
39	229	5510
40	233	5455
41	234	5340
42	238	5309
43	244	5304
44	248	5281
45	250	5195
46	253	5144
47	260	5159
48	265	5153
49	273	5187
50	280	5217
51	285	5209
52	289	5168
53	295	5170
54	304	5229
55	312	5261
56	315	5222
57	320	5200
58	325	5199
59	338	5304
60	347	5345
61	350	5306
62	353	5256
63	358	5246
64	360	5179
65	362	5136
66	369	5143
67	376	5164
68	380	5132
69	394	5237
70	400	5245
71	407	5252
72	410	5212
73	415	5199
74	418	5165
75	423	5150
76	427	5118
77	431	5097
78	437	5096
79	442	5090
80	448	5091
81	455	5097
82	460	5086
83	463	5052
84	466	5018
85	471	5012
86	474	4975
87	477	4953
88	481	4932
89	485	4905
90	488	4880
91	493	4873
92	497	4849
93	501	4828
94	505	4813
95	509	4797
96	513	4779
97	521	4798
98	525	4781
99	531	4784
100	534	4756
101	542	4777
102	546	4761
103	551	4750
104	561	4782
105	565	4770
106	572	4777
107	577	4767
108	580	4748
109	584	4730
110	593	4755
111	598	4746
112	605	4750
113	609	4736
114	611	4707
115	613	4677
116	619	4674
117	629	4703
118	636	4714
119	706	5178
120	780	5668
121	929	6689
122	933	6656
123	940	6644
124	947	6634
125	952	6609
126	955	6567
127	961	6550
128	968	6540
129	978	6546
130	984	6530
131	989	6505
132	996	6496
133	1001	6472
134	1007	6455
135	1011	6429
136	1024	6450
137	1029	6431
138	1038	6432
139	1045	6421
140	1053	6417
141	1056	6384
142	1060	6355
143	1064	6326
144	1070	6313
145	1074	6282
146	1079	6266
147	1086	6256
148	1092	6242
149	1103	6252
150	1108	6230
151	1112	6205
152	1118	6192
153	1121	6163
154	1130	6163
155	1137	6156
156	1142	6136
157	1145	6104
158	1153	6102
159	1159	6089
160	1169	6093
161	1174	6075
162	1177	6048
163	1185	6042
164	1196	6053
165	1200	6032
166	1205	6011
167	1210	5993
168	1216	5982
169	1218	5949
170	1223	5931
171	1231	5929
172	1236	5911
173	1240	5890
174	1246	5875
175	1250	5854
176	1255	5838
177	1260	5820
178	1265	5805
179	1270	5787
180	1275	5772
181	1279	5751
182	1283	5729
183	1289	5717
184	1294	5703
185	1299	5686
186	1304	5670
187	1311	5662
188	1315	5643
189	1317	5614
190	1321	5596
191	1325	5580
192	1331	5568
193	1347	5597
194	1351	5581
195	1356	5564
196	1362	5551
197	1365	5529
198	1371	5518
199	1373	5493
200	1379	5482
201	1397	5521
202	1404	5514
203	1410	5504
204	1414	5487
205	1417	5463
206	1420	5440
207	1423	5419
208	1427	5402
209	1430	5382
210	1435	5369
211	1441	5356
212	1444	5338
213	1449	5325
214	1453	5307
215	1460	5302
216	1465	5288
